Day fraction since midnight on 10/19/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Just Water Pump Control (rpm)
0.37468486	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37470441	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37470800	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37471959	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37473115	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37474322	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37475431	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37476588	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37477744	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37478903	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37480137	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37481217	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37482374	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37483533	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37484729	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37485846	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37487005	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37488163	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37489318	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37490558	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37491634	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37492791	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37493950	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37495106	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37496388	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37497421	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37498578	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37499735	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37500894	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37502208	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37503207	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37504366	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37505523	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37506680	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37508021	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37508995	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37510152	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37511309	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37512468	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37513835	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37514781	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37515940	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37517097	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37518255	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37519662	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37520569	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37521728	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37522884	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37524042	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37525474	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37526356	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37527515	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37528671	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37529828	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37531290	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37532144	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37533301	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37534457	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37535616	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37537101	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37537930	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37539089	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37540245	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37541402	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37542913	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37543718	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37544875	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37546032	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37547189	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37548725	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37549505	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37550662	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37551819	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37552975	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37554541	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37555292	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37556448	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37557607	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37558763	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.37560353	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
