Day fraction since midnight on 10/5/2019	Turbidity ()
0.56918151	-999.00000000
0.56987594	-999.00000000
Day fraction since midnight on 10/5/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Turbidity ()
0.57057037	0.00000000	0.00000000	-999.00000000
0.57126482	0.00000000	0.00000000	-999.00000000
Day fraction since midnight on 10/5/2019
0.57195926
0.57262638
0.57329341
0.57396045
0.57462746
0.57529449
0.57598886
0.57668331
0.57737775
0.57807219
0.57876663
0.57946109
0.58015552
0.58084997
0.58154442
0.58223887
0.58293331
0.58362775
0.58432221
0.58501665
0.58571109
0.58640552
0.58709998
0.58779442
0.58848888
0.58918331
0.58987775
0.59057220
0.59126663
0.59196108
0.59265474
0.59334800
0.59404126
0.59473451
0.59542776
0.59612183
0.59681626
0.59751069
0.59820514
0.59889957
0.59959400
0.60028847
0.60098289
0.60167732
0.60237176
0.60306620
0.60376065
0.60445505
0.60514944
0.60584386
0.60653822
0.60723261
0.60792705
0.60862146
0.60931591
0.61001034
0.61070483
Day fraction since midnight on 10/5/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()
0.66530470	0.00000000	0.00000000	0.00000000	1.61669874
0.66531627	0.00000000	0.00000000	0.00000000	1.61959887
0.66532786	0.00000000	0.00000000	0.00000000	1.63179946
0.66533943	0.00000000	0.00000000	0.00000000	1.64790273
0.66535100	0.00000000	0.00000000	0.00000000	1.66433573
0.66536257	0.00000000	0.00000000	0.00000000	1.67774534
0.66537414	0.00000000	0.00000000	0.00000000	1.68024576
0.66538573	0.00000000	0.00000000	0.00000000	1.67296851
0.66539730	0.00000000	0.00000000	0.00000000	1.66226137
0.66540887	48.66000000	24.70125000	12.35250000	1.65206659
0.66542044	48.66000000	24.70125000	12.35250000	1.64452791
0.66543201	48.66000000	24.70125000	12.35250000	1.63920927
0.66544358	48.66000000	24.70125000	12.35250000	1.63477385
0.66545517	48.66000000	24.70125000	12.35250000	1.63098168
0.66546674	48.66000000	24.70125000	12.35250000	1.63362908
0.66547831	48.66000000	24.70125000	12.35250000	1.65645826
0.66548988	48.66000000	24.70125000	12.35250000	1.65645826
0.66550147	48.66000000	24.70125000	12.35250000	1.68019044
0.66551304	48.66000000	24.70125000	12.35250000	1.68793750
0.66552461	48.66000000	24.70125000	12.35250000	1.74290097
0.66553618	48.66000000	24.70125000	12.35250000	1.72661257
0.66554777	48.66000000	24.70125000	12.35250000	1.71592534
0.66555934	48.66000000	24.70125000	12.35250000	1.71592534
0.66557091	0.00000000	0.00000000	0.00000000	1.71743703
0.66558247	0.00000000	0.00000000	0.00000000	1.72499454
0.66559404	0.00000000	0.00000000	0.00000000	1.73529625
0.66560563	0.00000000	0.00000000	0.00000000	1.70487285
0.66561720	0.00000000	0.00000000	0.00000000	1.67078793
0.66562877	0.00000000	0.00000000	0.00000000	1.67078793
0.66564034	0.00000000	0.00000000	0.00000000	1.64108336
0.66565193	0.00000000	0.00000000	0.00000000	1.62272429
0.66566350	0.00000000	0.00000000	0.00000000	1.61265254
0.66567507	0.00000000	0.00000000	0.00000000	1.60931587
0.66568664	0.00000000	0.00000000	0.00000000	1.59849310
0.66569821	0.00000000	0.00000000	0.00000000	1.59849310
0.66570978	0.00000000	0.00000000	0.00000000	1.58103967
0.66572135	0.00000000	0.00000000	0.00000000	1.58749235
0.66573294	0.00000000	0.00000000	0.00000000	1.58784223
0.66574451	0.00000000	0.00000000	0.00000000	1.57332420
0.66575608	0.00000000	0.00000000	0.00000000	1.57332420
0.66576765	0.00000000	0.00000000	0.00000000	1.56498587
0.66577922	0.00000000	0.00000000	0.00000000	1.55119240
0.66579081	0.00000000	0.00000000	0.00000000	1.53583884
0.66580238	0.00000000	0.00000000	0.00000000	1.56658089
0.66581394	0.00000000	0.00000000	0.00000000	1.56658089
0.66582552	0.00000000	0.00000000	0.00000000	1.55414426
0.66583709	0.00000000	0.00000000	0.00000000	1.54355836
0.66584868	0.00000000	0.00000000	0.00000000	1.53795135
0.66586025	0.00000000	-0.00000000	0.00000000	1.56307459
0.66587182	0.00000000	-0.00000000	0.00000000	1.56307459
0.66588339	0.00000000	-0.00000000	0.00000000	1.57257438
0.66589496	0.00000000	-0.00000000	0.00000000	1.58410347
0.66590653	0.00000000	-0.00000000	0.00000000	1.58412850
0.66591812	0.00000000	-0.00000000	0.00000000	1.56994426
0.66592969	0.00000000	-0.00000000	0.00000000	1.55412996
0.66594126	0.00000000	-0.00000000	0.00000000	1.54269040
0.66595285	0.00000000	-0.00000000	0.00000000	1.53761470
0.66596442	0.00000000	-0.00000000	0.00000000	1.54207158
0.66597599	0.00000000	-0.00000000	0.00000000	1.54651415
0.66598756	0.00000000	-0.00000000	0.00000000	1.54246724
0.66599913	0.00000000	-0.00000000	0.00000000	1.53309870
0.66601070	0.00000000	-0.00000000	0.00000000	1.51978111
0.66602227	48.66000000	-24.70125000	12.35250000	1.50561094
0.66603386	48.66000000	-24.70125000	12.35250000	1.49096131
0.66604543	48.66000000	-24.70125000	12.35250000	1.47356915
0.66605699	48.66000000	-24.70125000	12.35250000	1.46120334
0.66606857	48.66000000	-24.70125000	12.35250000	1.46016109
0.66608014	48.66000000	-24.70125000	12.35250000	1.46785963
0.66609173	48.66000000	-24.70125000	12.35250000	1.48113620
0.66610329	48.66000000	-24.70125000	12.35250000	1.50847733
0.66611487	48.66000000	-24.70125000	12.35250000	1.52784979
0.66612644	48.66000000	-24.70125000	12.35250000	1.53979087
0.66613801	48.66000000	-24.70125000	12.35250000	1.54323888
0.66614958	48.66000000	-24.70125000	12.35250000	1.54891670
0.66616115	48.66000000	-24.70125000	12.35250000	1.56746256
0.66617274	48.66000000	-24.70125000	12.35250000	1.59580886
0.66618432	48.66000000	-24.70125000	12.35250000	1.62406111
0.66619588	48.66000000	-24.70125000	12.35250000	1.64929283
0.66620745	48.66000000	-24.70125000	12.35250000	1.65096903
0.66621904	48.66000000	24.70125000	12.35250000	1.63925207
0.66623061	48.66000000	24.70125000	12.35250000	1.62757266
0.66624218	48.66000000	24.70125000	12.35250000	1.60590160
0.66625374	48.66000000	24.70125000	12.35250000	1.59109461
0.66626532	48.66000000	24.70125000	12.35250000	1.56879425
0.66627691	48.66000000	24.70125000	12.35250000	1.54968357
0.66628847	48.66000000	24.70125000	12.35250000	1.53202176
0.66630004	0.00000000	0.00000000	0.00000000	1.52360868
0.66631161	0.00000000	0.00000000	0.00000000	1.52028883
0.66632320	48.66000000	24.70125000	12.35250000	1.50603819
0.66633477	48.66000000	24.70125000	12.35250000	1.50987053
0.66634634	48.66000000	24.70125000	12.35250000	1.50465548
0.66635791	48.66000000	24.70125000	12.35250000	1.48477364
0.66636950	48.66000000	24.70125000	12.35250000	1.46283436
0.66638107	48.66000000	24.70125000	12.35250000	1.46124935
0.66639266	0.00000000	0.00000000	0.00000000	1.44977641
0.66640421	0.00000000	0.00000000	0.00000000	1.44201958
0.66641578	0.00000000	0.00000000	0.00000000	1.43925226
0.66642737	0.00000000	0.00000000	0.00000000	1.45027304
0.66643894	0.00000000	0.00000000	0.00000000	1.46308136
0.66645051	0.00000000	0.00000000	0.00000000	1.45349121
0.66646207	0.00000000	0.00000000	0.00000000	1.44500339
0.66647364	0.00000000	0.00000000	0.00000000	1.42736292
0.66648523	0.00000000	0.00000000	0.00000000	1.41636884
0.66649680	0.00000000	0.00000000	0.00000000	1.39385974
0.66650837	0.00000000	-0.00000000	0.00000000	1.37206519
0.66651996	0.00000000	-0.00000000	0.00000000	1.35311484
0.66653153	0.00000000	-0.00000000	0.00000000	1.33601129
0.66654309	0.00000000	-0.00000000	0.00000000	1.31614149
0.66655467	0.00000000	-0.00000000	0.00000000	1.30213690
0.66656624	0.00000000	-0.00000000	0.00000000	1.37206519
0.66657781	0.00000000	0.00000000	0.00000000	1.28633416
0.66658940	0.00000000	0.00000000	0.00000000	1.28095317
0.66660096	0.00000000	0.00000000	0.00000000	1.27249420
