Day fraction since midnight on 10/20/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Just Water Pump Control (rpm)
0.38375907	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38377066	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38378223	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38379380	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38380539	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38381695	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38382852	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38384009	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38385166	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38386324	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38387483	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38388640	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38389796	47.67750000	74.10000000	12.35250000	-999.00000000	60.00000000
0.38390955	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38392112	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38393269	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38394425	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38395584	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38396742	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38397901	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38399055	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38400214	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38401371	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38402528	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38403687	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38404843	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
0.38406000	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000
