PACl mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0039502	3.52623606	0.12749837	1.176385394
0.0039502	3.52825522	0.12788714	1.15314521
0.0039502	3.52825522	0.12853463	1.115453691
0.0039502	3.52825522	0.12745482	1.179017759
0.0039502	3.52825522	0.12777983	1.159513803
0.0039502	3.52825522	0.12855195	1.114462564
0.0039502	4.10354948	0.12748255	1.177340949
0.0039502	4.10354948	0.1274965	1.176498305
0.0039502	4.10354948	0.12809686	1.140799631
0.0039502	4.10354948	0.12724835	1.191578153
0.0039502	4.10354948	0.12818813	1.135468204
0.0039502	4.61116982	0.12858574	1.112531485
0.0039502	4.61116982	0.12768126	1.165394686
0.0039502	4.61116982	0.12744622	1.179538279
0.0039502	4.61116982	0.1283478	1.126201126
0.0039502	4.61116982	0.1270694	1.202572589
0.0039502	4.14405155	0.12763298	1.16828604
0.0039502	4.14405155	0.12730619	1.188046084
0.0039502	4.14405155	0.1275126	1.175526542
0.0039502	4.14405155	0.12741718	1.181297641
0.0039502	4.14405155	0.12713069	1.198795642
0.0039502	3.26833439	0.12789482	1.152690763
0.0039502	3.26833439	0.12745146	1.179221098
0.0039502	3.26833439	0.12765203	1.167144333
0.0039502	3.26833439	0.12695441	1.20969089
0.0039502	3.26833439	0.12620094	1.257387512
0.0039502	2.7720654	0.1262943	1.251376983
0.0039502	2.7720654	0.12659569	1.232168849
0.0039502	2.7720654	0.12631823	1.249840998
0.0039502	2.7720654	0.12702607	1.205249943
0.0039502	2.7720654	0.1270124	1.206095846
0.0039502	3.45635676	0.12593725	1.274520288
0.0039502	3.45635676	0.12553634	1.301017016
0.0039502	3.45635676	0.12678963	1.219964889
0.0039502	3.45635676	0.12762251	1.168914005
0.0039502	3.45635676	0.12590344	1.27673385
0.0039502	3.70696402	0.12680143	1.219226269
0.0039502	3.70696402	0.12734	1.185986286
0.0039502	3.70696402	0.12692054	1.211795589
0.0039502	3.70696402	0.12742661	1.180726046
0.0039502	3.70696402	0.12658522	1.232831151
0.0039502	4.17748117	0.12716804	1.196499798
0.0039502	4.17748117	0.12739466	1.182663801
0.0039502	4.17748117	0.12753201	1.17435606
0.0039502	4.17748117	0.12718321	1.195568579
0.0039502	4.17748117	0.12798865	1.14715303
0.0039502	3.64457846	0.12791684	1.151388774
0.0039502	3.64457846	0.12815411	1.137452522
0.0039502	3.64457846	0.12780812	1.157831453
0.0039502	3.64457846	0.12794444	1.149758929
0.0039502	3.64457846	0.12803829	1.144234106
0.0039502	3.36738968	0.12823699	1.132624353
0.0039502	3.36738968	0.12892491	1.093332511
0.0039502	3.36738968	0.12785941	1.15478756
0.0039502	3.36738968	0.12748735	1.177050939
0.0039502	3.36738968	0.12795101	1.149371295
0.0039502	3.66391873	0.12935001	1.069736582
0.0039502	3.66391873	0.12882808	1.098779602
0.0039502	3.66391873	0.12917177	1.079567471
0.0039502	3.66391873	0.12832557	1.127486786
0.0039502	3.66391873	0.12910613	1.083210587
0.0039502	3.60333467	0.12894353	1.092288158
0.0039502	3.60333467	0.12857239	1.11329403
0.0039502	3.60333467	0.12842974	1.12147482
0.0039502	3.60333467	0.12800433	1.146230213
0.0039502	3.60333467	0.12895022	1.091913175
0.0039502	3.50418878	0.12889923	1.094774482
0.0039502	3.50418878	0.12840457	1.122924513
0.0039502	3.50418878	0.12913945	1.081359745
0.0039502	3.50418878	0.12861237	1.111011954
0.0039502	3.50418878	0.12974177	1.048442401
0.0039502	3.6168499	0.12854783	1.114698249
0.0039502	3.6168499	0.1283778	1.124468417
0.0039502	3.6168499	0.12814291	1.138106554
0.0039502	3.6168499	0.12802818	1.14482799
0.0039502	3.6168499	0.12780324	1.158121482
0.0039502	3.51343703	0.1292844	1.073344869
0.0039502	3.51343703	0.12914827	1.080870345
0.0039502	3.51343703	0.12879322	1.100747259
0.0039502	3.51343703	0.12927026	1.074124105
0.0039502	3.51343703	0.1298155	1.044482447
0.0039502	3.91805482	0.12943241	1.06522209
0.0039502	3.91805482	0.12946351	1.063523155
0.0039502	3.91805482	0.12996276	1.036617992
0.0039502	3.91805482	0.12958376	1.056979576
0.0039502	3.91805482	0.12871623	1.105105418
0.0039502	4.45392704	0.12885055	1.097513158
0.0039502	4.45392704	0.12888265	1.095706484
0.0039502	4.45392704	0.12914789	1.080891426
0.0039502	4.45392704	0.12917197	1.07955639
0.0039502	4.45392704	0.12950823	1.061084933
0.0039502	4.16480494	0.12853296	1.115549302
0.0039502	4.16480494	0.1289843	1.090004945
0.0039502	4.16480494	0.12846173	1.119635022
0.0039502	4.16480494	0.12867559	1.107412873
0.0039502	4.16480494	0.12914781	1.080895864
0.0039502	3.9459157	0.12868567	1.106840103
0.0039502	3.9459157	0.12896731	1.090955843
0.0039502	3.9459157	0.12897962	1.090266793
0.0039502	3.9459157	0.12852329	1.116103093
0.0039502	3.9459157	0.12831382	1.128166933
0.0039502	4.41002369	0.12898892	1.089746516
0.0039502	4.41002369	0.12892976	1.09306039
0.0039502	4.41002369	0.12864049	1.109409655
0.0039502	4.41002369	0.12925999	1.074690426
0.0039502	4.41002369	0.12900902	1.088622894
0.0039502	4.04795837	0.12908967	1.084126067
0.0039502	4.04795837	0.12904957	1.086359608
0.0039502	4.04795837	0.12890112	1.09466829
0.0039502	4.04795837	0.12900975	1.088582107
0.0039502	4.04795837	0.12858826	1.112387603
0.0039502	3.78456783	0.12930155	1.072400514
0.0039502	3.78456783	0.12922014	1.07689071
0.0039502	3.78456783	0.12924467	1.075535774
0.0039502	3.78456783	0.12976053	1.047433401
0.0039502	3.78456783	0.12923472	1.076085165
0.0039502	3.5353775	0.12999505	1.034901469
0.0039502	3.5353775	0.12922901	1.076400571
0.0039502	3.5353775	0.12959757	1.056230666
0.0039502	3.5353775	0.12910217	1.083430765
0.0039502	3.5353775	0.13015096	1.026653266
0.0039502	3.19359207	0.12979642	1.045505775
0.0039502	3.19359207	0.1297837	1.046188551
0.0039502	3.19359207	0.13050897	1.007961175
0.0039502	3.19359207	0.12980622	1.044980041
0.0039502	3.19359207	0.13090226	0.9878191227
0.0039502	3.78891182	0.1306707	0.9996290456
0.0039502	3.78891182	0.12989943	1.039992862
0.0039502	3.78891182	0.12963422	1.054245727
0.0039502	3.78891182	0.13053271	1.006733784
0.0039502	3.78891182	0.13001913	1.033623236
0.0039502	3.46319056	0.13021922	1.023062787
0.0039502	3.46319056	0.13009252	1.029737222
0.0039502	3.46319056	0.13053763	1.0064796
0.0039502	3.46319056	0.1309021	0.9878272346
0.0039502	3.46319056	0.12940751	1.066584287
0.0039502	3.46319056	0.13036679	1.015343458
0.0039502	3.65753031	0.13021055	1.023518132
0.0039502	3.65753031	0.1291175	1.082578656
0.0039502	3.65753031	0.12985973	1.042114085
0.0039502	3.65753031	0.13038918	1.014177345
0.0039502	3.65753031	0.12877612	1.101713748
0.0039502	3.55663681	0.12955502	1.058539834
0.0039502	3.55663681	0.12997207	1.036122784
0.0039502	3.55663681	0.12907435	1.084978838
0.0039502	3.55663681	0.12952393	1.060230264
0.0039502	3.55663681	0.12858184	1.112754197
0.0039502	3.78437424	0.1279985	1.14657324
0.0039502	3.78437424	0.12795173	1.149328822
0.0039502	3.78437424	0.12689289	1.213516489
0.0039502	3.78437424	0.12701987	1.205633527
0.0039502	3.78437424	0.12634251	1.248284474
0.0039502	4.17249107	0.12733306	1.186408799
0.0039502	4.17249107	0.12663198	1.229875999
0.0039502	4.17249107	0.12712193	1.199334743
0.0039502	4.17249107	0.12676354	1.221599577
0.0039502	4.17249107	0.12686904	1.215002844
0.0039502	3.96814847	0.12680663	1.218900918
0.0039502	3.96814847	0.12670814	1.225077973
0.0039502	3.96814847	0.12610655	1.263493703
0.0039502	3.96814847	0.12640394	1.244355018
0.0039502	3.96814847	0.12703446	1.204731061
0.0039502	3.81448913	0.12602153	1.269019117
0.0039502	3.81448913	0.12666759	1.22763026
0.0039502	3.81448913	0.1270642	1.202893582
0.0039502	3.81448913	0.12689577	1.213337127
0.0039502	3.81448913	0.12700327	1.206661144
0.0039502	3.46977377	0.12574375	1.287240926
0.0039502	3.46977377	0.12742133	1.181046056
0.0039502	3.46977377	0.12657945	1.233196297
0.0039502	3.46977377	0.12736993	1.184165849
0.0039502	3.46977377	0.12782525	1.156813952
0.0039502	3.41332889	0.12724219	1.191954939
0.0039502	3.41332889	0.12796707	1.148424295
0.0039502	3.41332889	0.1275958	1.170517534
0.0039502	3.41332889	0.12777545	1.159774491
0.0039502	3.41332889	0.12895684	1.091542243
0.0039502	3.83763146	0.12790354	1.152174995
0.0039502	3.83763146	0.12821423	1.133948191
0.0039502	3.83763146	0.12839872	1.123261719
0.0039502	3.83763146	0.1284893	1.118051848
0.0039502	3.83763146	0.12813468	1.138587391
0.0039502	3.47979736	0.12825058	1.131834627
0.0039502	3.47979736	0.12884289	1.097944723
0.0039502	3.47979736	0.12741959	1.181151534
0.0039502	3.47979736	0.12846811	1.119268459
0.0039502	3.47979736	0.1277653	1.160378823
0.0039502	4.54392672	0.12822153	1.133523417
0.0039502	4.54392672	0.12804632	1.143762625
0.0039502	4.54392672	0.1286613	1.108225374
0.0039502	4.54392672	0.1290395	1.086921223
0.0039502	4.54392672	0.12827581	1.13036995
0.0039502	4.8013792	0.12925972	1.074705318
0.0039502	4.8013792	0.12817819	1.136047626
0.0039502	4.8013792	0.12883911	1.098157752
0.0039502	4.8013792	0.12843807	1.120995457
0.0039502	4.8013792	0.12942737	1.065497671
0.0039502	4.99834919	0.12896331	1.091179837
0.0039502	4.99834919	0.12914312	1.081156079
0.0039502	4.99834919	0.12870945	1.105490038
0.0039502	4.99834919	0.12920098	1.077950216
0.0039502	4.99834919	0.12940179	1.066897455
0.0039502	5.0016942	0.1287654	1.102320074
0.0039502	5.0016942	0.12893279	1.092890418
0.0039502	5.0016942	0.12872414	1.104656864
0.0039502	5.0016942	0.12935513	1.069455513
0.0039502	5.0016942	0.12958996	1.056643287
0.0039502	6.44792557	0.1288195	1.09926357
0.0039502	6.44792557	0.12937649	1.068283726
0.0039502	6.44792557	0.12874484	1.103483886
0.0039502	6.44792557	0.1289655	1.091057195
0.0039502	6.44792557	0.12982494	1.043976516
0.0039502	7.13071585	0.1300416	1.03243189
0.0039502	7.13071585	0.12967409	1.052090631
0.0039502	7.13071585	0.13028179	1.019782634
0.0039502	7.13071585	0.12933713	1.070443972
0.0039502	7.13071585	0.12945588	1.063939716
0.0039502	6.65053558	0.12877601	1.101719968
0.0039502	6.65053558	0.12979852	1.045393095
0.0039502	6.65053558	0.12955387	1.058602314
0.0039502	6.65053558	0.1292308	1.076301686
0.0039502	6.65053558	0.12879121	1.10086082
0.0039502	7.39857101	0.129577	1.05734636
0.0039502	7.39857101	0.12921321	1.077273803
0.0039502	7.39857101	0.13066891	0.9997208862
0.0039502	7.39857101	0.12900484	1.088856467
0.0039502	7.39857101	0.12989482	1.040238959
0.0039502	7.03728533	0.12921599	1.077120107
0.0039502	7.03728533	0.12997088	1.036186069
0.0039502	7.03728533	0.12907052	1.085192135
0.0039502	7.03728533	0.12909968	1.083569234
0.0039502	7.03728533	0.12869914	1.106075166
0.0039502	7.03728533	0.12933457	1.070584627
0.0039502	7.53843641	0.12885381	1.09732954
0.0039502	7.53843641	0.12991488	1.039168516
0.0039502	7.53843641	0.12949932	1.061570277
0.0039502	7.53843641	0.12962218	1.054897394
0.0039502	7.53843641	0.12987952	1.041056139
0.0039502	9.1467514	0.1298075	1.044911393
0.0039502	9.1467514	0.12961128	1.055487705
0.0039502	9.1467514	0.12914793	1.080889207
0.0039502	9.1467514	0.12946026	1.063700569
0.0039502	9.1467514	0.12902434	1.087767259
0.0039502	10.18420696	0.12953986	1.059363779
0.0039502	10.18420696	0.13002986	1.033054166
0.0039502	10.18420696	0.12888198	1.095744163
0.0039502	10.18420696	0.12944905	1.06431274
0.0039502	10.18420696	0.12876847	1.1021464
0.0039502	17.00383377	0.12839006	1.123761084
0.0039502	17.00383377	0.12984894	1.042691356
0.0039502	17.00383377	0.12850821	1.116967258
0.0039502	17.00383377	0.12874894	1.103251705
0.0039502	17.00383377	0.12935273	1.069587255
0.0039502	14.48128891	0.13011119	1.028750976
0.0039502	14.48128891	0.12941605	1.066116895
0.0039502	14.48128891	0.12899838	1.089217542
0.0039502	14.48128891	0.12958805	1.056746874
0.0039502	14.48128891	0.12990099	1.039909598
0.0039502	12.80161667	0.1295148	1.060727195
0.0039502	12.80161667	0.13020638	1.023737211
0.0039502	12.80161667	0.12973052	1.049047944
