Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0046085	5.37543201	0.11889893	1.829067969
0.0046085	5.37543201	0.11561527	2.164821689
0.0046085	5.37543201	0.11531918	2.197970867
0.0046085	5.37543201	0.11516533	2.215395275
0.0046085	5.37543201	0.11461735	2.278587007
0.0046085	5.55529308	0.1153544	2.194001314
0.0046085	5.55529308	0.1159599	2.126867229
0.0046085	5.55529308	0.11561871	2.164439511
0.0046085	5.55529308	0.11572836	2.152292891
0.0046085	5.55529308	0.11513674	2.218648446
0.0046085	5.88665104	0.11548907	2.178889015
0.0046085	5.88665104	0.11531776	2.198131062
0.0046085	5.88665104	0.1153328	2.196434942
0.0046085	5.88665104	0.11574518	2.150435674
0.0046085	5.88665104	0.1156365	2.162464153
0.0046085	4.9777503	0.11496405	2.238400148
0.0046085	4.9777503	0.11556883	2.169987694
0.0046085	4.9777503	0.11521593	2.209649339
0.0046085	4.9777503	0.11565351	2.160577089
0.0046085	4.9777503	0.11590713	2.132635405
0.0046085	4.52828169	0.11564637	2.161368989
0.0046085	4.52828169	0.11620899	2.099849654
0.0046085	4.52828169	0.11555201	2.171861797
0.0046085	4.52828169	0.1157462	2.1503231
0.0046085	4.52828169	0.11575466	2.149389625
0.0046085	4.30728722	0.11638352	2.081123981
0.0046085	4.30728722	0.11567414	2.158290638
0.0046085	4.30728722	0.11578771	2.145746776
0.0046085	4.30728722	0.11612932	2.108453529
0.0046085	4.30728722	0.11561278	2.165098365
0.0046085	5.21374846	0.11594167	2.128858145
0.0046085	5.21374846	0.11585205	2.13867277
0.0046085	5.21374846	0.11601382	2.120989463
0.0046085	5.21374846	0.11582053	2.142135388
0.0046085	5.21374846	0.11574637	2.150304338
0.0046085	5.44457579	0.11609709	2.111944179
0.0046085	5.44457579	0.11588149	2.135443704
0.0046085	5.44457579	0.11586993	2.136711057
0.0046085	5.44457579	0.11619939	2.100884533
0.0046085	5.44457579	0.1159347	2.129619838
0.0046085	5.51430559	0.11650941	2.067720743
0.0046085	5.51430559	0.11630615	2.089404469
0.0046085	5.51430559	0.1168175	2.035282062
0.0046085	5.51430559	0.11653084	2.065447751
0.0046085	5.51430559	0.11617514	2.10350095
0.0046085	5.10286474	0.11681987	2.035034508
0.0046085	5.10286474	0.1161142	2.110090372
0.0046085	5.10286474	0.11569479	2.156004394
0.0046085	5.10286474	0.11598504	2.124124718
0.0046085	5.10286474	0.11536855	2.192408524
0.0046085	4.57099152	0.11614392	2.106874184
0.0046085	4.57099152	0.11529644	2.200537647
0.0046085	4.57099152	0.11616912	2.104150974
0.0046085	4.57099152	0.11575858	2.14895723
0.0046085	4.57099152	0.11592799	2.130353376
0.0046085	4.05735302	0.11579617	2.144815288
0.0046085	4.05735302	0.1159262	2.130549101
0.0046085	4.05735302	0.11610812	2.110748932
0.0046085	4.05735302	0.11622494	2.098131374
0.0046085	4.05735302	0.11650802	2.067868261
0.0046085	3.68114066	0.11652035	2.06656007
0.0046085	3.68114066	0.11673786	2.043618232
0.0046085	3.68114066	0.11611132	2.110402296
0.0046085	3.68114066	0.11545416	2.182796496
0.0046085	3.68114066	0.11646216	2.0727412
0.0046085	3.97271848	0.11610717	2.11085185
0.0046085	3.97271848	0.11555952	2.171024825
0.0046085	3.97271848	0.11649259	2.069506524
0.0046085	3.97271848	0.11660545	2.057553647
0.0046085	3.97271848	0.11579008	2.145485787
0.0046085	4.36356878	0.11648434	2.070382991
0.0046085	4.36356878	0.11650134	2.068577344
0.0046085	4.36356878	0.11656646	2.061675209
0.0046085	4.36356878	0.11653504	2.065002567
0.0046085	4.36356878	0.11657786	2.060469282
0.0046085	4.35858917	0.11687693	2.0290835
0.0046085	4.35858917	0.11620775	2.099983297
0.0046085	4.35858917	0.11633638	2.086165203
0.0046085	4.35858917	0.11622997	2.097589788
0.0046085	4.35858917	0.11609372	2.112309499
0.0046085	4.28764963	0.11657472	2.060801371
0.0046085	4.28764963	0.11692315	2.024275796
0.0046085	4.28764963	0.11599443	2.123101275
0.0046085	4.28764963	0.11617323	2.103707165
0.0046085	4.28764963	0.11620962	2.099781758
0.0046085	4.40195274	0.11656275	2.062067816
0.0046085	4.40195274	0.11647277	2.071612795
0.0046085	4.40195274	0.11645017	2.074017112
0.0046085	4.40195274	0.11637557	2.081973311
0.0046085	4.40195274	0.11644296	2.07478474
0.0046085	4.6686511	0.11601751	2.120587814
0.0046085	4.6686511	0.11641368	2.077905018
0.0046085	4.6686511	0.116574	2.060877526
0.0046085	4.6686511	0.11707781	2.00827108
0.0046085	4.6686511	0.1165446	2.063989601
0.0046085	5.25099421	0.11660094	2.058029969
0.0046085	5.25099421	0.11621262	2.099458474
0.0046085	5.25099421	0.11627253	2.093012895
0.0046085	5.25099421	0.11574512	2.150442296
0.0046085	5.25099421	0.11655778	2.062593879
