Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0019753	0.19728711	0.11293252	2.484392578
0.0019753	0.19728711	0.11266997	2.518096811
0.0019753	0.19728711	0.1117987	2.633254893
0.0019753	0.19728711	0.11170072	2.646530232
0.0019753	0.19728711	0.11162546	2.65677266
0.0019753	0.1865149	0.1117202	2.643885561
0.0019753	0.1865149	0.11149763	2.67426047
0.0019753	0.1865149	0.11115208	2.722111825
0.0019753	0.1865149	0.1118413	2.627503797
0.0019753	0.1865149	0.1117756	2.636378707
0.0019753	0.17653871	0.11200193	2.60593113
0.0019753	0.17653871	0.11179163	2.634210577
0.0019753	0.17653871	0.11236688	2.557574266
0.0019753	0.17653871	0.11185294	2.625934557
0.0019753	0.17653871	0.11215753	2.585202894
0.0019753	0.17084324	0.11247083	2.543965537
0.0019753	0.17084324	0.11178692	2.634847441
0.0019753	0.17084324	0.11205243	2.599185625
0.0019753	0.17084324	0.11192936	2.615655286
0.0019753	0.17084324	0.11255148	2.533457057
0.0019753	0.18627682	0.11231221	2.564760636
0.0019753	0.18627682	0.11224691	2.573370788
0.0019753	0.18627682	0.1123455	2.560382266
0.0019753	0.18627682	0.11264249	2.521650818
0.0019753	0.18627682	0.11275364	2.507306528
0.0019753	0.17892621	0.11308321	2.465252261
0.0019753	0.17892621	0.11325544	2.443556499
0.0019753	0.17892621	0.11292297	2.485610594
0.0019753	0.17892621	0.11310088	2.463017537
0.0019753	0.17892621	0.112981	2.478218595
0.0019753	0.17892621	0.11250543	2.539451921
0.0019753	0.17289174	0.11272842	2.510554082
0.0019753	0.17289174	0.11305682	2.468593578
0.0019753	0.17289174	0.11344552	2.419833755
0.0019753	0.17289174	0.11343981	2.420543019
0.0019753	0.17289174	0.11374815	2.382538644
0.0019753	0.16899152	0.11312115	2.460456487
0.0019753	0.16899152	0.11370989	2.387221752
0.0019753	0.16899152	0.11390674	2.363224641
0.0019753	0.16899152	0.11356355	2.405219187
0.0019753	0.16899152	0.11365427	2.394046186
0.0019753	0.16588432	0.11392803	2.36064377
0.0019753	0.16588432	0.11366494	2.392735493
0.0019753	0.16588432	0.11415029	2.33386813
0.0019753	0.16588432	0.11410874	2.338850469
0.0019753	0.16588432	0.11453276	2.288501044
0.0019753	0.16787353	0.11481386	2.255721289
0.0019753	0.16787353	0.11457019	2.284108899
0.0019753	0.16787353	0.11461687	2.278643142
0.0019753	0.16787353	0.11457331	2.28374317
0.0019753	0.16787353	0.11501961	2.232026271
0.0019753	0.16489008	0.11515642	2.216408605
0.0019753	0.16489008	0.11504617	2.228985706
0.0019753	0.16489008	0.11525778	2.204908281
0.0019753	0.16489008	0.11508897	2.224094714
0.0019753	0.16489008	0.11533201	2.196524001
0.0019753	0.16924986	0.11495019	2.239993011
0.0019753	0.16924986	0.11579014	2.14547918
0.0019753	0.16924986	0.11545251	2.182981354
0.0019753	0.16924986	0.11524534	2.206316507
0.0019753	0.16924986	0.11529663	2.200516188
0.0019753	0.16886018	0.11585254	2.138618985
0.0019753	0.16886018	0.11584646	2.139286449
0.0019753	0.16886018	0.11652237	2.06634583
0.0019753	0.16886018	0.11658516	2.059697437
0.0019753	0.16886018	0.11635133	2.084565107
0.0019753	0.16573256	0.11544774	2.18351585
0.0019753	0.16573256	0.11632799	2.087063722
0.0019753	0.16573256	0.11615747	2.10540948
0.0019753	0.16573256	0.11680058	2.037050282
0.0019753	0.16573256	0.11659274	2.058896292
0.0019753	0.16416214	0.11705554	2.01056783
0.0019753	0.16416214	0.11664619	2.053255898
