Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0032919	5.21600819	0.10822786	3.162906727
0.0032919	5.21600819	0.10697031	3.37378175
0.0032919	5.21600819	0.10720266	3.333787687
0.0032919	5.21600819	0.10723618	3.328057204
0.0032919	5.21600819	0.10707741	3.355287523
0.0032919	4.65288401	0.1071761	3.338335314
0.0032919	4.65288401	0.10696027	3.375520693
0.0032919	4.65288401	0.10693973	3.379081046
0.0032919	4.65288401	0.1075227	3.279474776
0.0032919	4.65288401	0.10668178	3.424114469
0.0032919	4.24701405	0.10691961	3.382572237
0.0032919	4.24701405	0.10782646	3.228743392
0.0032919	4.24701405	0.10755612	3.273854455
0.0032919	4.24701405	0.10737982	3.303612255
0.0032919	4.24701405	0.10705506	3.359138573
0.0032919	3.65383363	0.10745928	3.290166811
0.0032919	3.65383363	0.10731716	3.314253705
0.0032919	3.65383363	0.10709537	3.352196097
0.0032919	3.65383363	0.10766353	3.255856201
0.0032919	3.65383363	0.10727492	3.321446594
0.0032919	2.61776257	0.10758532	3.268951706
0.0032919	2.61776257	0.10762508	3.262287711
0.0032919	2.61776257	0.10738014	3.303557998
0.0032919	2.61776257	0.10705873	3.358505905
0.0032919	2.61776257	0.10734156	3.310105822
0.0032919	2.74983168	0.10774948	3.241525205
0.0032919	2.74983168	0.10790339	3.216020232
0.0032919	2.74983168	0.10813009	3.178817999
0.0032919	2.74983168	0.10787185	3.221230437
0.0032919	2.74983168	0.10810535	3.182856907
0.0032919	2.30195713	0.10758349	3.269258751
0.0032919	2.30195713	0.10791912	3.213424887
0.0032919	2.30195713	0.10800551	3.19920841
0.0032919	2.30195713	0.10797835	3.203671112
0.0032919	2.30195713	0.10825162	3.159052024
0.0032919	2.70741272	0.10770087	3.249622496
0.0032919	2.70741272	0.1080467	3.192452278
0.0032919	2.70741272	0.10738965	3.301945945
0.0032919	2.70741272	0.10770979	3.248135118
0.0032919	2.70741272	0.10798791	3.202099584
0.0032919	2.3049643	0.10742788	3.29547346
0.0032919	2.3049643	0.10685045	3.394600306
0.0032919	2.3049643	0.10647116	3.461329652
0.0032919	2.3049643	0.10715199	3.342468822
0.0032919	2.3049643	0.10700407	3.367941035
0.0032919	2.32433605	0.10699338	3.369789385
0.0032919	2.32433605	0.10732853	3.312320214
0.0032919	2.32433605	0.10701554	3.365958947
0.0032919	2.32433605	0.10734572	3.309399161
0.0032919	2.32433605	0.10712054	3.347868419
0.0032919	2.2513783	0.10750278	3.282829359
0.0032919	2.2513783	0.10689332	3.387139474
0.0032919	2.2513783	0.10750227	3.282915289
0.0032919	2.2513783	0.10687759	3.38987512
0.0032919	2.2513783	0.10701602	3.365876025
0.0032919	2.11442327	0.10761287	3.264332728
0.0032919	2.11442327	0.10742324	3.296258353
0.0032919	2.11442327	0.10800465	3.199349623
0.0032919	2.11442327	0.10749186	3.284669772
0.0032919	2.11442327	0.10717083	3.339238386
0.0032919	1.98035359	0.10780932	3.231584961
0.0032919	1.98035359	0.10744807	3.292060337
0.0032919	1.98035359	0.10706336	3.357707913
0.0032919	1.98035359	0.10780563	3.232197038
0.0032919	1.98035359	0.10716205	3.340743476
0.0032919	1.63069808	0.10787002	3.221533
0.0032919	1.63069808	0.10758714	3.268646367
0.0032919	1.63069808	0.10778563	3.235516544
0.0032919	1.63069808	0.10765932	3.256559787
0.0032919	1.63069808	0.10790218	3.216219961
