Coagulant mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0026336	0.14290316	0.1129578	2.481171224
0.0026336	0.14188734	0.11326759	2.442033197
0.0026336	0.14188734	0.11312822	2.459563841
0.0026336	0.14188734	0.11314892	2.456952157
0.0026336	0.14188734	0.11269356	2.515049896
0.0026336	0.14188734	0.11317986	2.453053679
0.0026336	0.14070082	0.11346912	2.416904499
0.0026336	0.14070082	0.11344046	2.420462269
0.0026336	0.14070082	0.11306918	2.467028078
0.0026336	0.14070082	0.11328262	2.440150129
0.0026336	0.14070082	0.11316937	2.454374739
0.0026336	0.1398312	0.11305515	2.468805174
0.0026336	0.1398312	0.11286069	2.4935685
0.0026336	0.1398312	0.11260024	2.527124826
0.0026336	0.1398312	0.1129977	2.476095385
0.0026336	0.1398312	0.11293997	2.483442813
0.0026336	0.13990366	0.11386364	2.36845806
0.0026336	0.13990366	0.11278957	2.502687112
0.0026336	0.13990366	0.11354364	2.407678256
0.0026336	0.13990366	0.11362062	2.398184424
0.0026336	0.13990366	0.11325254	2.443920226
0.0026336	0.14054422	0.1139604	2.356725131
0.0026336	0.14054422	0.11382141	2.373597081
0.0026336	0.14054422	0.11333025	2.434192284
0.0026336	0.14054422	0.1136907	2.389574116
0.0026336	0.14054422	0.11383107	2.372420561
0.0026336	0.14010496	0.11362139	2.39808965
0.0026336	0.14010496	0.11369848	2.388620143
0.0026336	0.14010496	0.11381321	2.374596241
0.0026336	0.14010496	0.11437328	2.307309744
0.0026336	0.14010496	0.11354994	2.406899876
0.0026336	0.14011039	0.11369602	2.388921743
0.0026336	0.14011039	0.1129436	2.482980173
0.0026336	0.14011039	0.1138132	2.374597459
0.0026336	0.14011039	0.11375044	2.382258635
0.0026336	0.14011039	0.1131734	2.453867136
0.0026336	0.14011039	0.11394596	2.358472401
0.0026336	0.14942379	0.11344045	2.420463512
0.0026336	0.14942379	0.11355786	2.405921698
0.0026336	0.14942379	0.11390992	2.362838968
0.0026336	0.14942379	0.11409879	2.34004517
0.0026336	0.14942379	0.11427449	2.319038263
0.0026336	0.14632089	0.11429647	2.316423613
0.0026336	0.14632089	0.11430715	2.315154229
0.0026336	0.14632089	0.11461402	2.278976473
0.0026336	0.14632089	0.11470446	2.268422508
0.0026336	0.14632089	0.11398595	2.3536367
0.0026336	0.14471233	0.11472239	2.266335965
0.0026336	0.14471233	0.11422745	2.324643867
0.0026336	0.14471233	0.11429019	2.317170355
0.0026336	0.14471233	0.1144844	2.294188255
0.0026336	0.14471233	0.11455422	2.285981834
0.0026336	0.14247206	0.11444919	2.298337894
0.0026336	0.14247206	0.11463205	2.276868537
0.0026336	0.14247206	0.11448853	2.293702009
0.0026336	0.14247206	0.11417788	2.330565626
0.0026336	0.14247206	0.11552808	2.174530895
0.0026336	0.14081271	0.11471164	2.267586729
0.0026336	0.14081271	0.11472741	2.265752124
0.0026336	0.14081271	0.11485198	2.251312327
0.0026336	0.14081271	0.11460352	2.280204956
0.0026336	0.14081271	0.11470845	2.267958019
0.0026336	0.1395655	0.115204	2.211002719
0.0026336	0.1395655	0.11458095	2.28284785
0.0026336	0.1395655	0.11491853	2.243635793
0.0026336	0.1395655	0.11526129	2.204511106
0.0026336	0.1395655	0.11537243	2.191971975
0.0026336	0.14012323	0.11525173	2.205593037
0.0026336	0.14012323	0.11507897	2.225236508
0.0026336	0.14012323	0.11556895	2.169974329
0.0026336	0.14012323	0.115012	2.232898221
0.0026336	0.14012323	0.11513475	2.218875059
0.0026336	0.14090276	0.11599861	2.122645843
0.0026336	0.14090276	0.11542395	2.186183561
0.0026336	0.14090276	0.11595218	2.12771011
0.0026336	0.14090276	0.11518742	2.212884986
0.0026336	0.14090276	0.11556309	2.170627069
0.0026336	0.13998553	0.11572602	2.152551395
0.0026336	0.13998553	0.11619943	2.100880219
0.0026336	0.13998553	0.11648957	2.069827321
0.0026336	0.13998553	0.11546081	2.182051621
0.0026336	0.13998553	0.1159098	2.132343178
0.0026336	0.13965419	0.11609541	2.112126289
0.0026336	0.13965419	0.11605939	2.116034589
0.0026336	0.13965419	0.11652889	2.065654476
0.0026336	0.13965419	0.11649479	2.069272862
0.0026336	0.13965419	0.1165666	2.061660395
0.0026336	0.1415209	0.11676808	2.040450997
0.0026336	0.1415209	0.11620013	2.100804743
0.0026336	0.1415209	0.11621832	2.09884437
0.0026336	0.1415209	0.11651279	2.067362074
0.0026336	0.1415209	0.11617781	2.103212715
0.0026336	0.14188202	0.11652744	2.065808208
0.0026336	0.14188202	0.11722401	1.993258195
0.0026336	0.14188202	0.11663207	2.054744429
0.0026336	0.14188202	0.11682688	2.034302469
0.0026336	0.14188202	0.11705139	2.010996118
0.0026336	0.14077559	0.11666303	2.051482034
0.0026336	0.14077559	0.11714488	2.001369855
0.0026336	0.14077559	0.11743084	1.972210874
0.0026336	0.14077559	0.11762153	1.953002942
0.0026336	0.14077559	0.11772483	1.942675916
0.0026336	0.13934439	0.11759342	1.955822623
0.0026336	0.13934439	0.11774629	1.940537394
0.0026336	0.13934439	0.11759989	1.955173264
0.0026336	0.13934439	0.11810116	1.905513444
0.0026336	0.13934439	0.11744277	1.971003661
0.0026336	0.13809684	0.11738719	1.97663418
0.0026336	0.13809684	0.11733388	1.982049848
0.0026336	0.13809684	0.11811743	1.903922917
0.0026336	0.13809684	0.11767729	1.947421747
0.0026336	0.13809684	0.11829909	1.886254059
0.0026336	0.13790223	0.11830438	1.885742
0.0026336	0.13790223	0.11776105	1.939067904
0.0026336	0.13790223	0.1182014	1.895735238
0.0026336	0.13790223	0.11898082	1.821396629
0.0026336	0.13790223	0.1180354	1.911955578
0.0026336	0.13825572	0.11744949	1.970323981
0.0026336	0.13825572	0.11835951	1.880413821
0.0026336	0.13825572	0.11866571	1.851093189
0.0026336	0.13825572	0.11816441	1.899337681
0.0026336	0.13825572	0.11930124	1.791688124
0.0026336	0.13754402	0.11892986	1.8261667
0.0026336	0.13754402	0.11857425	1.859802865
0.0026336	0.13754402	0.11934295	1.787856696
0.0026336	0.13754402	0.11774538	1.940628029
0.0026336	0.13754402	0.11904173	1.81571154
0.0026336	0.13635276	0.11911701	1.808709726
0.0026336	0.13635276	0.11872236	1.845718915
0.0026336	0.13635276	0.11868197	1.849549036
0.0026336	0.13635276	0.11957477	1.766710835
0.0026336	0.13635276	0.11887114	1.831678632
0.0026336	0.13807164	0.11898901	1.820631174
0.0026336	0.13807164	0.11963499	1.761258807
0.0026336	0.13807164	0.11914715	1.805913971
0.0026336	0.13807164	0.11951882	1.771791401
0.0026336	0.13807164	0.11884204	1.834416355
0.0026336	0.13877951	0.1189046	1.828535771
0.0026336	0.13877951	0.11922595	1.798624968
0.0026336	0.13877951	0.11924046	1.797286003
0.0026336	0.13877951	0.11931388	1.790526163
0.0026336	0.13877951	0.119701	1.755301908
0.0026336	0.13917781	0.11899862	1.819733412
0.0026336	0.13917781	0.11971728	1.753835862
0.0026336	0.13917781	0.11830229	1.885944291
0.0026336	0.13917781	0.11947541	1.77574333
0.0026336	0.13917781	0.11925115	1.796300181
0.0026336	0.13858911	0.11906392	1.813644829
0.0026336	0.13858911	0.11897045	1.822366294
