Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	new set point ()
0.44897007	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44898164	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44899323	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44900480	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44901637	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07757200	NaN
0.44902794	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44903953	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44905110	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44906267	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44907424	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07266273	NaN
0.44908581	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06950489	NaN
0.44909740	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06950489	NaN
0.44910897	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06950489	NaN
0.44912054	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06950489	NaN
0.44913211	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06950489	NaN
0.44914368	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06816579	NaN
0.44915527	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06816579	NaN
0.44916684	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06816579	NaN
0.44917841	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06816579	NaN
0.44918998	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06816579	NaN
0.44920155	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06914701	NaN
0.44921312	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06914701	NaN
0.44922472	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06914701	NaN
0.44923628	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06914701	NaN
0.44924785	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06914701	NaN
0.44925942	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07131157	NaN
0.44927099	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07131157	NaN
0.44928258	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07131157	NaN
0.44929416	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07131157	NaN
0.44930573	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07131157	NaN
0.44931729	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07439702	NaN
0.44932887	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07439702	NaN
0.44934046	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07439702	NaN
0.44935203	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07439702	NaN
0.44936360	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07439702	NaN
0.44937517	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07355469	NaN
0.44938674	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07355469	NaN
0.44939831	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07355469	NaN
0.44940990	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07355469	NaN
0.44942147	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07355469	NaN
0.44943304	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07342530	NaN
0.44944462	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07342530	NaN
0.44945619	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07342530	NaN
0.44946776	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07342530	NaN
0.44947936	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07342530	NaN
0.44949090	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07310137	NaN
0.44950249	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07310137	NaN
0.44951407	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07310137	NaN
0.44952563	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07310137	NaN
0.44953720	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07310137	NaN
0.44954877	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07681122	NaN
0.44956036	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07681122	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Wa ()
0.44957193	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07681122	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water  ()
0.44958352	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07681122	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water F ()
0.44959507	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07681122	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water F;isj ()
0.44960666	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.07681122	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water F ()
0.44961823	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08235167	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water Flsu ()
0.44962982	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08235167	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water Fl ()
0.44964139	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08235167	NaN
Day fraction since midnight on 10/27/2019	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Water Flush ()
