Day fraction since midnight on 10/20/2019,Time (seconds),Time since start (seconds),Water Pump Control (rpm),Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Just Water Pump Control (rpm)
start 1st expt 10,,,,,,,
0.45699225,39484.1304,67.000608,37.4325,19.00125,9.5025,0.2221863,60
0.45700381,39485.12918,67.999392,37.4325,19.00125,9.5025,0.2221863,60
0.45701538,39486.12883,68.99904,37.4325,19.00125,9.5025,0.2221863,60
0.45702697,39487.13021,70.000416,37.4325,19.00125,9.5025,0.2221863,60
0.45703854,39488.12986,71.000064,37.4325,19.00125,9.5025,0.2221863,60
0.45705011,39489.1295,71.999712,37.4325,19.00125,9.5025,0.24429061,60
0.4570617,39490.13088,73.001088,37.4325,19.00125,9.5025,0.24429061,60
0.45707326,39491.12966,73.999872,37.4325,19.00125,9.5025,0.24429061,60
0.45708483,39492.12931,74.99952,37.4325,19.00125,9.5025,0.24429061,60
0.4570964,39493.12896,75.999168,37.4325,19.00125,9.5025,0.24429061,60
0.45710799,39494.13034,77.000544,37.4325,19.00125,9.5025,0.24429061,60
0.45711956,39495.12998,78.000192,37.4325,19.00125,9.5025,0.29099694,60
0.45713113,39496.12963,78.99984,37.4325,19.00125,9.5025,0.29099694,60
0.45714269,39497.12842,79.998624,37.4325,19.00125,9.5025,0.29099694,60
0.45715427,39498.12893,80.999136,37.4325,19.00125,9.5025,0.29099694,60
0.45716586,39499.1303,82.000512,37.4325,19.00125,9.5025,0.29099694,60
0.45717742,39500.12909,82.999296,37.4325,19.00125,9.5025,0.31270385,60
0.45718899,39501.12874,83.998944,37.4325,19.00125,9.5025,0.31270385,60
0.45720058,39502.13011,85.00032,37.4325,19.00125,9.5025,0.31270385,60
0.45721215,39503.12976,85.999968,37.4325,19.00125,9.5025,0.31270385,60
0.45722372,39504.12941,86.999616,37.4325,19.00125,9.5025,0.31270385,60
0.45723531,39505.13078,88.000992,37.4325,19.00125,9.5025,0.31270385,60
0.45724687,39506.12957,88.999776,37.4325,19.00125,9.5025,0.32414618,60
0.45725844,39507.12922,89.999424,37.4325,19.00125,9.5025,0.32414618,60
0.45727001,39508.12886,90.999072,37.4325,19.00125,9.5025,0.32414618,60
0.4572816,39509.13024,92.000448,37.4325,19.00125,9.5025,0.32414618,60
0.45729317,39510.12989,93.000096,37.4325,19.00125,9.5025,0.32414618,60
0.45730474,39511.12954,93.999744,37.4325,19.00125,9.5025,0.36447671,60
0.45731631,39512.12918,94.999392,37.4325,19.00125,9.5025,0.36447671,60
0.45732788,39513.12883,95.99904,37.4325,19.00125,9.5025,0.36447671,60
0.45733947,39514.13021,97.000416,37.4325,19.00125,9.5025,0.36447671,60
0.45735104,39515.12986,98.000064,37.4325,19.00125,9.5025,0.36447671,60
0.4573626,39516.12864,98.998848,37.4325,19.00125,9.5025,0.36447671,60
0.45737419,39517.13002,100.000224,37.4325,19.00125,9.5025,0.32222536,60
0.45738576,39518.12966,100.999872,37.4325,19.00125,9.5025,0.32222536,60
0.45739733,39519.12931,101.99952,37.4325,19.00125,9.5025,0.32222536,60
0.4574089,39520.12896,102.999168,37.4325,19.00125,9.5025,0.32222536,60
0.45742047,39521.12861,103.998816,37.4325,19.00125,9.5025,0.32222536,60
0.45743206,39522.12998,105.000192,37.4325,19.00125,9.5025,0.30719241,60
0.45744363,39523.12963,105.99984,37.4325,19.00125,9.5025,0.30719241,60
0.4574552,39524.12928,106.999488,37.4325,19.00125,9.5025,0.30719241,60
0.45746679,39525.13066,108.000864,37.4325,19.00125,9.5025,0.30719241,60
0.45747836,39526.1303,109.000512,37.4325,19.00125,9.5025,0.30719241,60
0.45748993,39527.12995,110.00016,37.4325,19.00125,9.5025,0.30719241,60
0.4575015,39528.1296,110.999808,37.4325,19.00125,9.5025,0.28492099,60
0.45751309,39529.13098,112.001184,37.4325,19.00125,9.5025,0.28492099,60
0.45752465,39530.12976,112.999968,37.4325,19.00125,9.5025,0.28492099,60
0.45753622,39531.12941,113.999616,37.4325,19.00125,9.5025,0.28492099,60
0.45754779,39532.12906,114.999264,37.4325,19.00125,9.5025,0.28492099,60
0.45755938,39533.13043,116.00064,37.4325,19.00125,9.5025,0.2801851,60
0.45757094,39534.12922,116.999424,37.4325,19.00125,9.5025,0.2801851,60
0.45758251,39535.12886,117.999072,37.4325,19.00125,9.5025,0.2801851,60
0.4575941,39536.13024,119.000448,37.4325,19.00125,9.5025,0.2801851,60
0.45760567,39537.12989,120.000096,37.4325,19.00125,9.5025,0.2801851,60
0.45761724,39538.12954,120.999744,37.4325,19.00125,9.5025,0.2801851,60
0.45762883,39539.13091,122.00112,37.4325,19.00125,9.5025,0.27555639,60
0.45764039,39540.1297,122.999904,37.4325,19.00125,9.5025,0.27555639,60
0.45765196,39541.12934,123.999552,37.4325,19.00125,9.5025,0.27555639,60
0.45766353,39542.12899,124.9992,37.4325,19.00125,9.5025,0.27555639,60
0.45767512,39543.13037,126.000576,37.4325,19.00125,9.5025,0.27555639,60
0.45768671,39544.13174,127.001952,37.4325,19.00125,9.5025,0.26600263,60
0.45769828,39545.13139,128.0016,37.4325,19.00125,9.5025,0.26600263,60
0.45770984,39546.13018,129.000384,37.4325,19.00125,9.5025,0.26600263,60
0.45772141,39547.12982,130.000032,37.4325,19.00125,9.5025,0.26600263,60
0.45773298,39548.12947,130.99968,37.4325,19.00125,9.5025,0.26600263,60
0.45774455,39549.12912,131.999328,37.4325,19.00125,9.5025,0.26600263,60
0.45775614,39550.1305,133.000704,37.4325,19.00125,9.5025,0.25387955,60
0.4577677,39551.12928,133.999488,37.4325,19.00125,9.5025,0.25387955,60
0.45777927,39552.12893,134.999136,37.4325,19.00125,9.5025,0.25387955,60
0.45779086,39553.1303,136.000512,37.4325,19.00125,9.5025,0.25387955,60
0.45780243,39554.12995,137.00016,37.4325,19.00125,9.5025,0.25387955,60
0.457814,39555.1296,137.999808,37.4325,19.00125,9.5025,0.25569373,60
0.45782559,39556.13098,139.001184,37.4325,19.00125,9.5025,0.25569373,60
0.45783715,39557.12976,139.999968,37.4325,19.00125,9.5025,0.25569373,60
0.45784872,39558.12941,140.999616,37.4325,19.00125,9.5025,0.25569373,60
