Day fraction since midnight on 11/3/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.41902106	0.26450622	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41903262	0.25543839	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41904421	0.24996963	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41905578	0.24415302	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41906735	0.23816644	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41907892	0.24925408	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41909049	0.23507871	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41910208	0.22582105	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41911365	0.21109581	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41912524	0.21700817	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41913679	0.21482722	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41914836	0.21061487	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41915995	0.18870279	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41917152	0.16477828	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41918308	0.20111866	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41919465	0.18774533	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41920625	0.16813757	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41921782	0.17205195	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41922938	0.17279224	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41924095	0.15581824	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41925254	0.14283735	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41926411	0.14539802	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41927568	0.15044552	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41928727	0.16271004	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41929883	0.15702546	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41931040	0.15537247	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41932197	0.15026970	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41933356	0.15127727	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41934513	0.14850438	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41935670	0.14513876	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41936827	0.14398959	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41937984	0.13994747	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41939143	0.13913746	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41940300	0.13722186	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41941457	0.13944200	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41942614	0.13920537	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41943773	0.13604848	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41944930	0.13534340	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41946087	0.13268431	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41947246	0.12770861	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41948402	0.12651615	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41949558	0.12401170	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41950717	0.12527111	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41951874	0.12288740	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41953031	0.12210793	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41954188	0.11989571	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41955345	0.11905850	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41956504	0.12230521	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41957661	0.12254252	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41958818	0.11428428	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41959975	0.10610978	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41961132	0.10840899	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41962291	0.11099280	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41963448	0.12944974	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41964606	0.11488862	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41965762	0.10432002	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41966919	0.09979891	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41968078	0.10436411	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41969235	0.10751371	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41970392	0.10588323	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41971551	0.11193907	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41972708	0.11315131	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41973865	0.11028396	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41975021	0.09781356	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41976181	0.09458878	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41977338	0.09577861	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41978494	0.09494452	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41979651	0.10018948	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41980810	0.10359287	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41981967	0.10824202	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41983126	0.10642058	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41984280	0.10658887	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41985439	0.10913850	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41986596	0.10765535	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41987753	0.11593023	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41988911	0.12199129	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41990067	0.11892457	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41991227	0.11620752	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41992383	0.11656563	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41993540	0.11397696	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41994697	0.11050051	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41995856	0.10830818	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41997013	0.11089383	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41998170	0.11009336	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.41999327	0.11033855	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42000484	0.11269321	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42001643	0.11766408	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42002800	0.11883565	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42003957	0.12623109	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42005114	0.23847249	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42006273	0.24667519	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42007430	0.23742171	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42008586	0.23609738	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42009745	0.22227429	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42010902	0.22094177	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42012059	0.21473742	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42013216	0.21221554	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42014375	0.21042015	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42015531	0.20497875	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42016689	0.20832171	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42017846	0.20374660	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42019005	0.20456553	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42020161	0.20518701	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42021318	0.20865557	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42022477	0.20366713	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42023634	0.19585754	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42024793	0.21744785	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42025947	0.21769769	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42027106	0.21487175	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42028263	0.20832032	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42029420	0.20835461	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42030577	0.20914073	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42031736	0.19745007	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42032893	0.19445781	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42034050	0.19796310	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42035207	0.19876853	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42036364	0.19680616	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42037523	0.19602926	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42038680	0.19497383	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42039836	0.18797988	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42040995	0.18806651	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42042152	0.19439951	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42043309	0.19452265	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42044468	0.19371836	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42045624	0.19385509	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42046781	0.19324976	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42047938	0.19135009	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42049097	0.18837278	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42050253	0.19218326	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42051410	0.19357744	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42052569	0.18888268	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42053726	0.19115469	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42054883	0.18927288	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42056042	0.18882267	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42057198	0.19272952	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42058355	0.18863961	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.42059514	0.18792018	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
