Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Capture Velocity Pump (),Capture V Flow mL/s (mL/s)
32.51851852,8.34074074,4.21281815,4.90153846,0.37578
32.51851852,8.34074074,4.21281815,5.78123077,0.37578
32.51851852,8.34074074,4.21281815,5.78123077,0.37578
32.51851852,8.34074074,4.21281815,5.78123077,0.37578
32.51851852,8.34074074,4.21281815,5.78123077,0.37578
32.51851852,8.34074074,3.67236328,5.78123077,0.37578
32.51851852,8.34074074,3.67236328,5.78123077,0.37578
32.51851852,8.34074074,3.67236328,5.78123077,0.37578
32.51851852,8.34074074,3.67236328,5.78123077,0.37578
32.51851852,8.34074074,3.67236328,5.78123077,0.37578
32.51851852,8.34074074,3.0514276,5.78123077,0.37578
32.51851852,8.34074074,3.0514276,5.78123077,0.37578
32.51851852,8.34074074,3.0514276,5.78123077,0.37578
32.51851852,8.34074074,3.0514276,5.78123077,0.37578
32.51851852,8.34074074,3.0514276,5.78123077,0.37578
32.51851852,8.34074074,3.6323235,5.78123077,0.37578
32.51851852,8.34074074,3.6323235,5.78123077,0.37578
32.51851852,8.34074074,3.6323235,5.78123077,0.37578
32.51851852,8.34074074,3.6323235,5.78123077,0.37578
32.51851852,8.34074074,3.6323235,5.78123077,0.37578
32.51851852,8.34074074,3.17510867,5.78123077,0.37578
32.51851852,8.34074074,3.17510867,5.78123077,0.37578
32.51851852,8.34074074,3.17510867,5.78123077,0.37578
32.51851852,8.34074074,3.17510867,5.78123077,0.37578
32.51851852,8.34074074,3.17510867,5.78123077,0.37578
32.51851852,8.34074074,3.3723526,5.78123077,0.37578
32.51851852,8.34074074,3.3723526,5.78123077,0.37578
32.51851852,8.34074074,3.3723526,5.78123077,0.37578
32.51851852,8.34074074,3.3723526,5.78123077,0.37578
32.51851852,8.34074074,3.3723526,5.78123077,0.37578
32.51851852,8.34074074,2.80354476,5.78123077,0.37578
32.51851852,8.34074074,2.80354476,5.78123077,0.37578
32.51851852,8.34074074,2.80354476,5.78123077,0.37578
32.51851852,8.34074074,2.80354476,5.78123077,0.37578
32.51851852,8.34074074,2.80354476,5.78123077,0.37578
32.51851852,8.34074074,1.99299765,5.78123077,0.37578
32.51851852,8.34074074,1.99299765,5.78123077,0.37578
32.51851852,8.34074074,1.99299765,5.78123077,0.37578
32.51851852,8.34074074,1.99299765,5.78123077,0.37578
32.51851852,8.34074074,1.99299765,5.78123077,0.37578
