Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Capture Velocity Pump (),Capture V Flow mL/s (mL/s)
32.51851852,8.34074074,0.16539387,0.50307692,0.0327
32.51851852,8.34074074,0.16539387,0.50307692,0.0327
32.51851852,8.34074074,0.17110087,0.50307692,0.0327
32.51851852,8.34074074,0.17110087,0.50307692,0.0327
32.51851852,8.34074074,0.17110087,0.50307692,0.0327
32.51851852,8.34074074,0.17110087,0.50307692,0.0327
32.51851852,8.34074074,0.17110087,0.50307692,0.0327
32.51851852,8.34074074,0.16619323,0.50307692,0.0327
32.51851852,8.34074074,0.16619323,0.50307692,0.0327
32.51851852,8.34074074,0.16619323,0.50307692,0.0327
32.51851852,8.34074074,0.16619323,0.50307692,0.0327
32.51851852,8.34074074,0.16619323,0.50307692,0.0327
32.51851852,8.34074074,0.1590333,0.50307692,0.0327
32.51851852,8.34074074,0.1590333,0.50307692,0.0327
32.51851852,8.34074074,0.1590333,0.50307692,0.0327
32.51851852,8.34074074,0.1590333,0.50307692,0.0327
32.51851852,8.34074074,0.1590333,0.50307692,0.0327
32.51851852,8.34074074,0.17349231,0.50307692,0.0327
32.51851852,8.34074074,0.17349231,0.50307692,0.0327
32.51851852,8.34074074,0.17349231,0.50307692,0.0327
32.51851852,8.34074074,0.17349231,0.50307692,0.0327
32.51851852,8.34074074,0.17349231,0.50307692,0.0327
32.51851852,8.34074074,0.17536461,0.50307692,0.0327
32.51851852,8.34074074,0.17536461,0.50307692,0.0327
32.51851852,8.34074074,0.17536461,0.50307692,0.0327
32.51851852,8.34074074,0.17536461,0.50307692,0.0327
32.51851852,8.34074074,0.17536461,0.50307692,0.0327
32.51851852,8.34074074,0.17970707,0.50307692,0.0327
32.51851852,8.34074074,0.17970707,0.50307692,0.0327
32.51851852,8.34074074,0.17970707,0.50307692,0.0327
32.51851852,8.34074074,0.17970707,0.50307692,0.0327
32.51851852,8.34074074,0.17970707,0.50307692,0.0327
32.51851852,8.34074074,0.19101453,0.50307692,0.0327
32.51851852,8.34074074,0.19101453,0.50307692,0.0327
32.51851852,8.34074074,0.19101453,0.50307692,0.0327
32.51851852,8.34074074,0.19101453,0.50307692,0.0327
32.51851852,8.34074074,0.19101453,0.50307692,0.0327
32.51851852,8.34074074,0.18914832,0.50307692,0.0327
32.51851852,8.34074074,0.18914832,0.50307692,0.0327
32.51851852,8.34074074,0.18914832,0.50307692,0.0327
32.51851852,8.34074074,0.18914832,0.50307692,0.0327
32.51851852,8.34074074,0.18914832,0.50307692,0.0327
32.51851852,8.34074074,0.20711836,0.50307692,0.0327
32.51851852,8.34074074,0.20711836,0.50307692,0.0327
32.51851852,8.34074074,0.20711836,0.50307692,0.0327
32.51851852,8.34074074,0.20711836,0.50307692,0.0327
32.51851852,8.34074074,0.20711836,0.50307692,0.0327
32.51851852,8.34074074,0.20517588,0.50307692,0.0327
32.51851852,8.34074074,0.20517588,0.50307692,0.0327
32.51851852,8.34074074,0.20517588,0.50307692,0.0327
32.51851852,8.34074074,0.20517588,0.50307692,0.0327
32.51851852,8.34074074,0.20517588,0.50307692,0.0327
32.51851852,8.34074074,0.19457912,0.50307692,0.0327
32.51851852,8.34074074,0.19457912,0.50307692,0.0327
32.51851852,8.34074074,0.19457912,0.50307692,0.0327
32.51851852,8.34074074,0.19457912,0.50307692,0.0327
32.51851852,8.34074074,0.19457912,0.50307692,0.0327
32.51851852,8.34074074,0.19061908,0.50307692,0.0327
32.51851852,8.34074074,0.19061908,0.50307692,0.0327
32.51851852,8.34074074,0.19061908,0.50307692,0.0327
32.51851852,8.34074074,0.19061908,0.50307692,0.0327
32.51851852,8.34074074,0.19061908,0.50307692,0.0327
32.51851852,8.34074074,0.20944798,0.50307692,0.0327
32.51851852,8.34074074,0.20944798,0.50307692,0.0327
32.51851852,8.34074074,0.20944798,0.50307692,0.0327
32.51851852,8.34074074,0.20944798,0.50307692,0.0327
32.51851852,8.34074074,0.20944798,0.50307692,0.0327
32.51851852,8.34074074,0.23335905,0.50307692,0.0327
32.51851852,8.34074074,0.23335905,0.50307692,0.0327
32.51851852,8.34074074,0.23335905,0.50307692,0.0327
32.51851852,8.34074074,0.23335905,0.50307692,0.0327
32.51851852,8.34074074,0.23335905,0.50307692,0.0327
32.51851852,8.34074074,0.20928717,0.50307692,0.0327
32.51851852,8.34074074,0.20928717,0.50307692,0.0327
32.51851852,8.34074074,0.20928717,0.50307692,0.0327
32.51851852,8.34074074,0.20928717,0.50307692,0.0327
32.51851852,8.34074074,0.20928717,0.50307692,0.0327
32.51851852,8.34074074,0.19169477,0.50307692,0.0327
32.51851852,8.34074074,0.19169477,0.50307692,0.0327
32.51851852,8.34074074,0.19169477,0.50307692,0.0327
32.51851852,8.34074074,0.19169477,0.50307692,0.0327
32.51851852,8.34074074,0.19169477,0.50307692,0.0327
32.51851852,8.34074074,0.19169477,0.50307692,0.0327
32.51851852,8.34074074,0.19299173,0.50307692,0.0327
32.51851852,8.34074074,0.19299173,0.50307692,0.0327
32.51851852,8.34074074,0.19299173,0.50307692,0.0327
32.51851852,8.34074074,0.19299173,0.50307692,0.0327
32.51851852,8.34074074,0.19299173,0.50307692,0.0327
32.51851852,8.34074074,0.20232196,0.50307692,0.0327
32.51851852,8.34074074,0.20232196,0.50307692,0.0327
32.51851852,8.34074074,0.20232196,0.50307692,0.0327
32.51851852,8.34074074,0.20232196,0.50307692,0.0327
32.51851852,8.34074074,0.20232196,0.50307692,0.0327
32.51851852,8.34074074,0.19454314,0.50307692,0.0327
32.51851852,8.34074074,0.19454314,0.50307692,0.0327
32.51851852,8.34074074,0.19454314,0.50307692,0.0327
32.51851852,8.34074074,0.19454314,0.50307692,0.0327
32.51851852,8.34074074,0.19454314,0.50307692,0.0327
32.51851852,8.34074074,0.17883296,0.50307692,0.0327
32.51851852,8.34074074,0.17883296,0.50307692,0.0327
32.51851852,8.34074074,0.17883296,0.50307692,0.0327
32.51851852,8.34074074,0.17883296,0.50307692,0.0327
32.51851852,8.34074074,0.17883296,0.50307692,0.0327
32.51851852,8.34074074,0.17254607,0.50307692,0.0327
32.51851852,8.34074074,0.17254607,0.50307692,0.0327
32.51851852,8.34074074,0.17254607,0.50307692,0.0327
32.51851852,8.34074074,0.17254607,0.50307692,0.0327
32.51851852,8.34074074,0.17254607,0.50307692,0.0327
32.51851852,8.34074074,0.17902616,0.50307692,0.0327
32.51851852,8.34074074,0.17902616,0.50307692,0.0327
32.51851852,8.34074074,0.17902616,0.50307692,0.0327
32.51851852,8.34074074,0.17902616,0.50307692,0.0327
32.51851852,8.34074074,0.17902616,0.50307692,0.0327
32.51851852,8.34074074,0.1861304,0.50307692,0.0327
32.51851852,8.34074074,0.1861304,0.50307692,0.0327
32.51851852,8.34074074,0.1861304,0.50307692,0.0327
32.51851852,8.34074074,0.1861304,0.50307692,0.0327
32.51851852,8.34074074,0.1861304,0.50307692,0.0327
32.51851852,8.34074074,0.17747961,0.50307692,0.0327
32.51851852,8.34074074,0.17747961,0.50307692,0.0327
32.51851852,8.34074074,0.17747961,0.50307692,0.0327
32.51851852,8.34074074,0.17747961,0.50307692,0.0327
32.51851852,8.34074074,0.17747961,0.50307692,0.0327
32.51851852,8.34074074,0.17618631,0.50307692,0.0327
32.51851852,8.34074074,0.17618631,0.50307692,0.0327
32.51851852,8.34074074,0.17618631,0.50307692,0.0327
32.51851852,8.34074074,0.17618631,0.50307692,0.0327
32.51851852,8.34074074,0.17618631,0.50307692,0.0327
32.51851852,8.34074074,0.19819592,0.50307692,0.0327
32.51851852,8.34074074,0.19819592,0.50307692,0.0327
32.51851852,8.34074074,0.19819592,0.50307692,0.0327
32.51851852,8.34074074,0.19819592,0.50307692,0.0327
32.51851852,8.34074074,0.19819592,0.50307692,0.0327
32.51851852,8.34074074,0.21711931,0.50307692,0.0327
32.51851852,8.34074074,0.21711931,0.50307692,0.0327
32.51851852,8.34074074,0.21711931,0.50307692,0.0327
32.51851852,8.34074074,0.21711931,0.50307692,0.0327
32.51851852,8.34074074,0.21711931,0.50307692,0.0327
32.51851852,8.34074074,0.18729708,0.50307692,0.0327
32.51851852,8.34074074,0.18729708,0.50307692,0.0327
32.51851852,8.34074074,0.18729708,0.50307692,0.0327
32.51851852,8.34074074,0.18729708,0.50307692,0.0327
32.51851852,8.34074074,0.18729708,0.50307692,0.0327
32.51851852,8.34074074,0.17731909,0.50307692,0.0327
32.51851852,8.34074074,0.17731909,0.50307692,0.0327
32.51851852,8.34074074,0.17731909,0.50307692,0.0327
32.51851852,8.34074074,0.17731909,0.50307692,0.0327
32.51851852,8.34074074,0.17731909,0.50307692,0.0327
32.51851852,8.34074074,0.19294214,0.50307692,0.0327
32.51851852,8.34074074,0.19294214,0.50307692,0.0327
32.51851852,8.34074074,0.19294214,0.50307692,0.0327
32.51851852,8.34074074,0.19294214,0.50307692,0.0327
32.51851852,8.34074074,0.19294214,0.50307692,0.0327
32.51851852,8.34074074,0.18677031,0.50307692,0.0327
32.51851852,8.34074074,0.18677031,0.50307692,0.0327
32.51851852,8.34074074,0.18677031,0.50307692,0.0327
32.51851852,8.34074074,0.18677031,0.50307692,0.0327
32.51851852,8.34074074,0.18677031,0.50307692,0.0327
32.51851852,8.34074074,0.18680845,0.50307692,0.0327
32.51851852,8.34074074,0.18680845,0.50307692,0.0327
32.51851852,8.34074074,0.18680845,0.50307692,0.0327
32.51851852,8.34074074,0.18680845,0.50307692,0.0327
32.51851852,8.34074074,0.18680845,0.50307692,0.0327
32.51851852,8.34074074,0.19087549,0.50307692,0.0327
32.51851852,8.34074074,0.19087549,0.50307692,0.0327
32.51851852,8.34074074,0.19087549,0.50307692,0.0327
32.51851852,8.34074074,0.19087549,0.50307692,0.0327
32.51851852,8.34074074,0.19087549,0.50307692,0.0327
32.51851852,8.34074074,0.20438814,0.50307692,0.0327
32.51851852,8.34074074,0.20438814,0.50307692,0.0327
32.51851852,8.34074074,0.20438814,0.50307692,0.0327
32.51851852,8.34074074,0.20438814,0.50307692,0.0327
32.51851852,8.34074074,0.20438814,0.50307692,0.0327
32.51851852,8.34074074,0.17984398,0.50307692,0.0327
32.51851852,8.34074074,0.17984398,0.50307692,0.0327
32.51851852,8.34074074,0.17984398,0.50307692,0.0327
32.51851852,8.34074074,0.17984398,0.50307692,0.0327
32.51851852,8.34074074,0.17984398,0.50307692,0.0327
32.51851852,8.34074074,0.1759015,0.50307692,0.0327
32.51851852,8.34074074,0.1759015,0.50307692,0.0327
32.51851852,8.34074074,0.1759015,0.50307692,0.0327
32.51851852,8.34074074,0.1759015,0.50307692,0.0327
32.51851852,8.34074074,0.1759015,0.50307692,0.0327
32.51851852,8.34074074,0.16816586,0.50307692,0.0327
32.51851852,8.34074074,0.16816586,0.50307692,0.0327
32.51851852,8.34074074,0.16816586,0.50307692,0.0327
32.51851852,8.34074074,0.16816586,0.50307692,0.0327
32.51851852,8.34074074,0.16816586,0.50307692,0.0327
32.51851852,8.34074074,0.17338941,0.50307692,0.0327
32.51851852,8.34074074,0.17338941,0.50307692,0.0327
32.51851852,8.34074074,0.17338941,0.50307692,0.0327
32.51851852,8.34074074,0.17338941,0.50307692,0.0327
32.51851852,8.34074074,0.17338941,0.50307692,0.0327
32.51851852,8.34074074,0.17179206,0.50307692,0.0327
32.51851852,8.34074074,0.17179206,0.50307692,0.0327
32.51851852,8.34074074,0.17179206,0.50307692,0.0327
32.51851852,8.34074074,0.17179206,0.50307692,0.0327
32.51851852,8.34074074,0.17179206,0.50307692,0.0327
32.51851852,8.34074074,0.17983399,0.50307692,0.0327
32.51851852,8.34074074,0.17983399,0.50307692,0.0327
32.51851852,8.34074074,0.17983399,0.50307692,0.0327
32.51851852,8.34074074,0.17983399,0.50307692,0.0327
32.51851852,8.34074074,0.17983399,0.50307692,0.0327
32.51851852,8.34074074,0.18517169,0.50307692,0.0327
32.51851852,8.34074074,0.18517169,0.50307692,0.0327
32.51851852,8.34074074,0.18517169,0.50307692,0.0327
32.51851852,8.34074074,0.18517169,0.50307692,0.0327
32.51851852,8.34074074,0.18517169,0.50307692,0.0327
32.51851852,8.34074074,0.18082888,0.50307692,0.0327
32.51851852,8.34074074,0.18082888,0.50307692,0.0327
32.51851852,8.34074074,0.18082888,0.50307692,0.0327
32.51851852,8.34074074,0.18082888,0.50307692,0.0327
32.51851852,8.34074074,0.18082888,0.50307692,0.0327
32.51851852,8.34074074,0.1829363,0.50307692,0.0327
32.51851852,8.34074074,0.1829363,0.50307692,0.0327
32.51851852,8.34074074,0.1829363,0.50307692,0.0327
32.51851852,8.34074074,0.1829363,0.50307692,0.0327
32.51851852,8.34074074,0.1829363,0.50307692,0.0327
32.51851852,8.34074074,0.17945351,0.50307692,0.0327
32.51851852,8.34074074,0.17945351,0.50307692,0.0327
32.51851852,8.34074074,0.17945351,0.50307692,0.0327
32.51851852,8.34074074,0.17945351,0.50307692,0.0327
32.51851852,8.34074074,0.17945351,0.50307692,0.0327
32.51851852,8.34074074,0.17945351,0.50307692,0.0327
32.51851852,8.34074074,0.17533389,0.50307692,0.0327
32.51851852,8.34074074,0.17533389,0.50307692,0.0327
32.51851852,8.34074074,0.17533389,0.50307692,0.0327
32.51851852,8.34074074,0.17533389,0.50307692,0.0327
32.51851852,8.34074074,0.17533389,0.50307692,0.0327
32.51851852,8.34074074,0.16781837,0.50307692,0.0327
32.51851852,8.34074074,0.16781837,0.50307692,0.0327
32.51851852,8.34074074,0.16781837,0.50307692,0.0327
32.51851852,8.34074074,0.16781837,0.50307692,0.0327
32.51851852,8.34074074,0.16781837,0.50307692,0.0327
32.51851852,8.34074074,0.16789773,0.50307692,0.0327
32.51851852,8.34074074,0.16789773,0.50307692,0.0327
32.51851852,8.34074074,0.16789773,0.50307692,0.0327
32.51851852,8.34074074,0.16789773,0.50307692,0.0327
32.51851852,8.34074074,0.16789773,0.50307692,0.0327
32.51851852,8.34074074,0.18160558,0.50307692,0.0327
32.51851852,8.34074074,0.18160558,0.50307692,0.0327
32.51851852,8.34074074,0.18160558,0.50307692,0.0327
32.51851852,8.34074074,0.18160558,0.50307692,0.0327
32.51851852,8.34074074,0.18160558,0.50307692,0.0327
32.51851852,8.34074074,0.17851296,0.50307692,0.0327
32.51851852,8.34074074,0.17851296,0.50307692,0.0327
32.51851852,8.34074074,0.17851296,0.50307692,0.0327
32.51851852,8.34074074,0.17851296,0.50307692,0.0327
32.51851852,8.34074074,0.17851296,0.50307692,0.0327
32.51851852,8.34074074,0.18144378,0.50307692,0.0327
32.51851852,8.34074074,0.18144378,0.50307692,0.0327
32.51851852,8.34074074,0.18144378,0.50307692,0.0327
32.51851852,8.34074074,0.18144378,0.50307692,0.0327
32.51851852,8.34074074,0.18144378,0.50307692,0.0327
32.51851852,8.34074074,0.19657686,0.50307692,0.0327
32.51851852,8.34074074,0.19657686,0.50307692,0.0327
32.51851852,8.34074074,0.19657686,0.50307692,0.0327
32.51851852,8.34074074,0.19657686,0.50307692,0.0327
32.51851852,8.34074074,0.19657686,0.50307692,0.0327
32.51851852,8.34074074,0.17698881,0.50307692,0.0327
32.51851852,8.34074074,0.17698881,0.50307692,0.0327
32.51851852,8.34074074,0.17698881,0.50307692,0.0327
32.51851852,8.34074074,0.17698881,0.50307692,0.0327
32.51851852,8.34074074,0.17698881,0.50307692,0.0327
32.51851852,8.34074074,0.17099978,0.50307692,0.0327
32.51851852,8.34074074,0.17099978,0.50307692,0.0327
32.51851852,8.34074074,0.17099978,0.50307692,0.0327
32.51851852,8.34074074,0.17099978,0.50307692,0.0327
32.51851852,8.34074074,0.17099978,0.50307692,0.0327
32.51851852,8.34074074,0.20386444,0.50307692,0.0327
32.51851852,8.34074074,0.20386444,0.50307692,0.0327
32.51851852,8.34074074,0.20386444,0.50307692,0.0327
32.51851852,8.34074074,0.20386444,0.50307692,0.0327
32.51851852,8.34074074,0.20386444,0.50307692,0.0327
32.51851852,8.34074074,0.19906665,0.50307692,0.0327
32.51851852,8.34074074,0.19906665,0.50307692,0.0327
32.51851852,8.34074074,0.19906665,0.50307692,0.0327
32.51851852,8.34074074,0.19906665,0.50307692,0.0327
32.51851852,8.34074074,0.19906665,0.50307692,0.0327
32.51851852,8.34074074,0.2005582,0.50307692,0.0327
32.51851852,8.34074074,0.2005582,0.50307692,0.0327
32.51851852,8.34074074,0.2005582,0.50307692,0.0327
32.51851852,8.34074074,0.2005582,0.50307692,0.0327
32.51851852,8.34074074,0.2005582,0.50307692,0.0327
32.51851852,8.34074074,0.21450976,0.50307692,0.0327
32.51851852,8.34074074,0.21450976,0.50307692,0.0327
32.51851852,8.34074074,0.21450976,0.50307692,0.0327
32.51851852,8.34074074,0.21450976,0.50307692,0.0327
32.51851852,8.34074074,0.21450976,0.50307692,0.0327
32.51851852,8.34074074,0.23156293,0.50307692,0.0327
32.51851852,8.34074074,0.23156293,0.50307692,0.0327
32.51851852,8.34074074,0.23156293,0.50307692,0.0327
