Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Capture Velocity Pump (),Capture V Flow mL/s (mL/s)
32.51851852,8.34074074,2.02736759,2.26246154,0.20424
32.51851852,8.34074074,2.02736759,3.14215385,0.20424
32.51851852,8.34074074,2.02736759,3.14215385,0.20424
32.51851852,8.34074074,2.02736759,3.14215385,0.20424
32.51851852,8.34074074,2.02736759,3.14215385,0.20424
32.51851852,8.34074074,1.4395169,3.14215385,0.20424
32.51851852,8.34074074,1.4395169,3.14215385,0.20424
32.51851852,8.34074074,1.4395169,3.14215385,0.20424
32.51851852,8.34074074,1.4395169,3.14215385,0.20424
32.51851852,8.34074074,1.4395169,3.14215385,0.20424
32.51851852,8.34074074,1.13861299,3.14215385,0.20424
32.51851852,8.34074074,1.13861299,3.14215385,0.20424
32.51851852,8.34074074,1.13861299,3.14215385,0.20424
32.51851852,8.34074074,1.13861299,3.14215385,0.20424
32.51851852,8.34074074,1.13861299,3.14215385,0.20424
32.51851852,8.34074074,0.96409869,3.14215385,0.20424
32.51851852,8.34074074,0.96409869,3.14215385,0.20424
32.51851852,8.34074074,0.96409869,3.14215385,0.20424
32.51851852,8.34074074,0.96409869,3.14215385,0.20424
32.51851852,8.34074074,0.96409869,3.14215385,0.20424
32.51851852,8.34074074,1.37956047,3.14215385,0.20424
32.51851852,8.34074074,1.37956047,3.14215385,0.20424
32.51851852,8.34074074,1.37956047,3.14215385,0.20424
32.51851852,8.34074074,1.37956047,3.14215385,0.20424
32.51851852,8.34074074,1.37956047,3.14215385,0.20424
32.51851852,8.34074074,1.43565738,3.14215385,0.20424
32.51851852,8.34074074,1.43565738,3.14215385,0.20424
32.51851852,8.34074074,1.43565738,3.14215385,0.20424
32.51851852,8.34074074,1.43565738,3.14215385,0.20424
32.51851852,8.34074074,1.43565738,3.14215385,0.20424
32.51851852,8.34074074,0.91855872,3.14215385,0.20424
32.51851852,8.34074074,0.91855872,3.14215385,0.20424
32.51851852,8.34074074,0.91855872,3.14215385,0.20424
32.51851852,8.34074074,0.91855872,3.14215385,0.20424
32.51851852,8.34074074,0.91855872,3.14215385,0.20424
32.51851852,8.34074074,0.6031189,3.14215385,0.20424
32.51851852,8.34074074,0.6031189,3.14215385,0.20424
32.51851852,8.34074074,0.6031189,3.14215385,0.20424
32.51851852,8.34074074,0.6031189,3.14215385,0.20424
32.51851852,8.34074074,0.6031189,3.14215385,0.20424
32.51851852,8.34074074,0.39781231,3.14215385,0.20424
32.51851852,8.34074074,0.39781231,3.14215385,0.20424
32.51851852,8.34074074,0.39781231,3.14215385,0.20424
32.51851852,8.34074074,0.39781231,3.14215385,0.20424
32.51851852,8.34074074,0.39781231,3.14215385,0.20424
32.51851852,8.34074074,0.27890024,3.14215385,0.20424
32.51851852,8.34074074,0.27890024,3.14215385,0.20424
32.51851852,8.34074074,0.27890024,3.14215385,0.20424
32.51851852,8.34074074,0.27890024,3.14215385,0.20424
32.51851852,8.34074074,0.27890024,3.14215385,0.20424
32.51851852,8.34074074,0.20979655,3.14215385,0.20424
32.51851852,8.34074074,0.20979655,3.14215385,0.20424
32.51851852,8.34074074,0.20979655,3.14215385,0.20424
32.51851852,8.34074074,0.20979655,3.14215385,0.20424
32.51851852,8.34074074,0.20979655,3.14215385,0.20424
32.51851852,8.34074074,0.16909893,3.14215385,0.20424
32.51851852,8.34074074,0.16909893,3.14215385,0.20424
32.51851852,8.34074074,0.16909893,3.14215385,0.20424
32.51851852,8.34074074,0.16909893,3.14215385,0.20424
32.51851852,8.34074074,0.16909893,3.14215385,0.20424
32.51851852,8.34074074,0.15289937,3.14215385,0.20424
32.51851852,8.34074074,0.15289937,3.14215385,0.20424
32.51851852,8.34074074,0.15289937,3.14215385,0.20424
32.51851852,8.34074074,0.15289937,3.14215385,0.20424
32.51851852,8.34074074,0.15289937,3.14215385,0.20424
32.51851852,8.34074074,0.13020536,3.14215385,0.20424
32.51851852,8.34074074,0.13020536,3.14215385,0.20424
32.51851852,8.34074074,0.13020536,3.14215385,0.20424
32.51851852,8.34074074,0.13020536,3.14215385,0.20424
32.51851852,8.34074074,0.13020536,3.14215385,0.20424
32.51851852,8.34074074,0.13020536,3.14215385,0.20424
32.51851852,8.34074074,0.11049198,3.14215385,0.20424
32.51851852,8.34074074,0.11049198,3.14215385,0.20424
32.51851852,8.34074074,0.11049198,3.14215385,0.20424
32.51851852,8.34074074,0.11049198,3.14215385,0.20424
32.51851852,8.34074074,0.11049198,3.14215385,0.20424
32.51851852,8.34074074,0.10272474,3.14215385,0.20424
32.51851852,8.34074074,0.10272474,3.14215385,0.20424
32.51851852,8.34074074,0.10272474,3.14215385,0.20424
32.51851852,8.34074074,0.10272474,3.14215385,0.20424
32.51851852,8.34074074,0.10272474,3.14215385,0.20424
32.51851852,8.34074074,0.10106681,3.14215385,0.20424
32.51851852,8.34074074,0.10106681,3.14215385,0.20424
32.51851852,8.34074074,0.10106681,3.14215385,0.20424
32.51851852,8.34074074,0.10106681,3.14215385,0.20424
32.51851852,8.34074074,0.10106681,3.14215385,0.20424
32.51851852,8.34074074,0.09346304,3.14215385,0.20424
32.51851852,8.34074074,0.09346304,3.14215385,0.20424
32.51851852,8.34074074,0.09346304,3.14215385,0.20424
32.51851852,8.34074074,0.09346304,3.14215385,0.20424
32.51851852,8.34074074,0.09346304,3.14215385,0.20424
32.51851852,8.34074074,0.08640411,3.14215385,0.20424
32.51851852,8.34074074,0.08640411,3.14215385,0.20424
32.51851852,8.34074074,0.08640411,3.14215385,0.20424
32.51851852,8.34074074,0.08640411,3.14215385,0.20424
32.51851852,8.34074074,0.08640411,3.14215385,0.20424
32.51851852,8.34074074,0.0863192,3.14215385,0.20424
32.51851852,8.34074074,0.0863192,3.14215385,0.20424
32.51851852,8.34074074,0.0863192,3.14215385,0.20424
32.51851852,8.34074074,0.0863192,3.14215385,0.20424
32.51851852,8.34074074,0.0863192,3.14215385,0.20424
32.51851852,8.34074074,0.08617464,3.14215385,0.20424
32.51851852,8.34074074,0.08617464,3.14215385,0.20424
32.51851852,8.34074074,0.08617464,3.14215385,0.20424
32.51851852,8.34074074,0.08617464,3.14215385,0.20424
32.51851852,8.34074074,0.08617464,3.14215385,0.20424
32.51851852,8.34074074,0.08325894,3.14215385,0.20424
32.51851852,8.34074074,0.08325894,3.14215385,0.20424
32.51851852,8.34074074,0.08325894,3.14215385,0.20424
32.51851852,8.34074074,0.08325894,3.14215385,0.20424
32.51851852,8.34074074,0.08325894,3.14215385,0.20424
32.51851852,8.34074074,0.0863374,3.14215385,0.20424
32.51851852,8.34074074,0.0863374,3.14215385,0.20424
32.51851852,8.34074074,0.0863374,3.14215385,0.20424
32.51851852,8.34074074,0.0863374,3.14215385,0.20424
32.51851852,8.34074074,0.0863374,3.14215385,0.20424
32.51851852,8.34074074,0.08964054,3.14215385,0.20424
32.51851852,8.34074074,0.08964054,3.14215385,0.20424
32.51851852,8.34074074,0.08964054,3.14215385,0.20424
32.51851852,8.34074074,0.08964054,3.14215385,0.20424
32.51851852,8.34074074,0.08964054,3.14215385,0.20424
32.51851852,8.34074074,0.09434775,3.14215385,0.20424
32.51851852,8.34074074,0.09434775,3.14215385,0.20424
32.51851852,8.34074074,0.09434775,3.14215385,0.20424
32.51851852,8.34074074,0.09434775,3.14215385,0.20424
32.51851852,8.34074074,0.09434775,3.14215385,0.20424
32.51851852,8.34074074,0.09785751,3.14215385,0.20424
32.51851852,8.34074074,0.09785751,3.14215385,0.20424
32.51851852,8.34074074,0.09785751,3.14215385,0.20424
32.51851852,8.34074074,0.09785751,3.14215385,0.20424
32.51851852,8.34074074,0.09785751,3.14215385,0.20424
32.51851852,8.34074074,0.08986818,3.14215385,0.20424
32.51851852,8.34074074,0.08986818,3.14215385,0.20424
32.51851852,8.34074074,0.08986818,3.14215385,0.20424
32.51851852,8.34074074,0.08986818,3.14215385,0.20424
32.51851852,8.34074074,0.08986818,3.14215385,0.20424
32.51851852,8.34074074,0.08740224,3.14215385,0.20424
32.51851852,8.34074074,0.08740224,3.14215385,0.20424
32.51851852,8.34074074,0.08740224,3.14215385,0.20424
32.51851852,8.34074074,0.08740224,3.14215385,0.20424
32.51851852,8.34074074,0.08740224,3.14215385,0.20424
32.51851852,8.34074074,0.08509501,3.14215385,0.20424
32.51851852,8.34074074,0.08509501,3.14215385,0.20424
32.51851852,8.34074074,0.08509501,3.14215385,0.20424
32.51851852,8.34074074,0.08509501,3.14215385,0.20424
32.51851852,8.34074074,0.08509501,3.14215385,0.20424
32.51851852,8.34074074,0.09955941,3.14215385,0.20424
32.51851852,8.34074074,0.09955941,3.14215385,0.20424
32.51851852,8.34074074,0.09955941,3.14215385,0.20424
32.51851852,8.34074074,0.09955941,3.14215385,0.20424
32.51851852,8.34074074,0.09955941,3.14215385,0.20424
32.51851852,8.34074074,0.08473581,3.14215385,0.20424
32.51851852,8.34074074,0.08473581,3.14215385,0.20424
32.51851852,8.34074074,0.08473581,3.14215385,0.20424
32.51851852,8.34074074,0.08473581,3.14215385,0.20424
32.51851852,8.34074074,0.08473581,3.14215385,0.20424
32.51851852,8.34074074,0.07631492,3.14215385,0.20424
32.51851852,8.34074074,0.07631492,3.14215385,0.20424
32.51851852,8.34074074,0.07631492,3.14215385,0.20424
32.51851852,8.34074074,0.07631492,3.14215385,0.20424
32.51851852,8.34074074,0.07631492,3.14215385,0.20424
32.51851852,8.34074074,0.07959642,3.14215385,0.20424
