Manual Coagulant Pump Control (rpm),Fluoride Pump Control (),Turbidity (),Capture Velocity Pump (),Capture V Flow mL/s (mL/s)
32.51851852,8.34074074,0.427358,1.38276923,0.14706
32.51851852,8.34074074,0.427358,2.26246154,0.14706
32.51851852,8.34074074,0.427358,2.26246154,0.14706
32.51851852,8.34074074,0.427358,2.26246154,0.14706
32.51851852,8.34074074,0.427358,2.26246154,0.14706
32.51851852,8.34074074,0.31975085,2.26246154,0.14706
32.51851852,8.34074074,0.31975085,2.26246154,0.14706
32.51851852,8.34074074,0.31975085,2.26246154,0.14706
32.51851852,8.34074074,0.31975085,2.26246154,0.14706
32.51851852,8.34074074,0.31975085,2.26246154,0.14706
32.51851852,8.34074074,0.27889997,2.26246154,0.14706
32.51851852,8.34074074,0.27889997,2.26246154,0.14706
32.51851852,8.34074074,0.27889997,2.26246154,0.14706
32.51851852,8.34074074,0.27889997,2.26246154,0.14706
32.51851852,8.34074074,0.27889997,2.26246154,0.14706
32.51851852,8.34074074,0.22146745,2.26246154,0.14706
32.51851852,8.34074074,0.22146745,2.26246154,0.14706
32.51851852,8.34074074,0.22146745,2.26246154,0.14706
32.51851852,8.34074074,0.22146745,2.26246154,0.14706
32.51851852,8.34074074,0.22146745,2.26246154,0.14706
32.51851852,8.34074074,0.16428767,2.26246154,0.14706
32.51851852,8.34074074,0.16428767,2.26246154,0.14706
32.51851852,8.34074074,0.16428767,2.26246154,0.14706
32.51851852,8.34074074,0.16428767,2.26246154,0.14706
32.51851852,8.34074074,0.16428767,2.26246154,0.14706
32.51851852,8.34074074,0.18683097,2.26246154,0.14706
32.51851852,8.34074074,0.18683097,2.26246154,0.14706
32.51851852,8.34074074,0.18683097,2.26246154,0.14706
32.51851852,8.34074074,0.18683097,2.26246154,0.14706
32.51851852,8.34074074,0.18683097,2.26246154,0.14706
32.51851852,8.34074074,0.23406921,2.26246154,0.14706
32.51851852,8.34074074,0.23406921,2.26246154,0.14706
32.51851852,8.34074074,0.23406921,2.26246154,0.14706
32.51851852,8.34074074,0.23406921,2.26246154,0.14706
32.51851852,8.34074074,0.23406921,2.26246154,0.14706
32.51851852,8.34074074,0.16840397,2.26246154,0.14706
32.51851852,8.34074074,0.16840397,2.26246154,0.14706
32.51851852,8.34074074,0.16840397,2.26246154,0.14706
32.51851852,8.34074074,0.16840397,2.26246154,0.14706
32.51851852,8.34074074,0.16840397,2.26246154,0.14706
32.51851852,8.34074074,0.12685438,2.26246154,0.14706
32.51851852,8.34074074,0.12685438,2.26246154,0.14706
32.51851852,8.34074074,0.12685438,2.26246154,0.14706
32.51851852,8.34074074,0.12685438,2.26246154,0.14706
32.51851852,8.34074074,0.12685438,2.26246154,0.14706
32.51851852,8.34074074,0.10134684,2.26246154,0.14706
32.51851852,8.34074074,0.10134684,2.26246154,0.14706
32.51851852,8.34074074,0.10134684,2.26246154,0.14706
32.51851852,8.34074074,0.10134684,2.26246154,0.14706
32.51851852,8.34074074,0.10134684,2.26246154,0.14706
32.51851852,8.34074074,0.08496664,2.26246154,0.14706
32.51851852,8.34074074,0.08496664,2.26246154,0.14706
32.51851852,8.34074074,0.08496664,2.26246154,0.14706
32.51851852,8.34074074,0.08496664,2.26246154,0.14706
32.51851852,8.34074074,0.08496664,2.26246154,0.14706
32.51851852,8.34074074,0.11773553,2.26246154,0.14706
32.51851852,8.34074074,0.11773553,2.26246154,0.14706
32.51851852,8.34074074,0.11773553,2.26246154,0.14706
32.51851852,8.34074074,0.11773553,2.26246154,0.14706
32.51851852,8.34074074,0.11773553,2.26246154,0.14706
32.51851852,8.34074074,0.0978526,2.26246154,0.14706
32.51851852,8.34074074,0.0978526,2.26246154,0.14706
32.51851852,8.34074074,0.0978526,2.26246154,0.14706
32.51851852,8.34074074,0.0978526,2.26246154,0.14706
32.51851852,8.34074074,0.0978526,2.26246154,0.14706
32.51851852,8.34074074,0.11792692,2.26246154,0.14706
32.51851852,8.34074074,0.11792692,2.26246154,0.14706
32.51851852,8.34074074,0.11792692,2.26246154,0.14706
32.51851852,8.34074074,0.11792692,2.26246154,0.14706
32.51851852,8.34074074,0.11792692,2.26246154,0.14706
