Day fraction since midnight on 11/17/2019	Fluoride Probe (volts)	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.00064529	0.11828146	41.18526316	6.50617284	8.13333333	0.10874414	1.38276923	0.08988000
0.00065688	0.11701483	41.18526316	6.50617284	8.13333333	0.08924693	1.38276923	0.08988000
0.00066846	0.11645249	41.18526316	6.50617284	8.13333333	0.08924693	1.38276923	0.08988000
0.00068002	0.11646300	41.18526316	6.50617284	8.13333333	0.08924693	1.38276923	0.08988000
0.00069159	0.11690132	41.18526316	6.50617284	8.13333333	0.08924693	1.38276923	0.08988000
0.00070318	0.11685357	41.18526316	6.50617284	8.13333333	0.08924693	1.38276923	0.08988000
0.00071475	0.11704163	41.18526316	6.50617284	8.13333333	0.07682404	1.38276923	0.08988000
0.00072631	0.11763605	41.18526316	6.50617284	8.13333333	0.07682404	1.38276923	0.08988000
0.00073790	0.11829399	41.18526316	6.50617284	8.13333333	0.07682404	1.38276923	0.08988000
0.00074947	0.11895848	41.18526316	6.50617284	8.13333333	0.07682404	1.38276923	0.08988000
0.00076104	0.11976061	41.18526316	6.50617284	8.13333333	0.07682404	1.38276923	0.08988000
0.00077261	0.11882636	41.18526316	6.50617284	8.13333333	0.06906264	1.38276923	0.08988000
0.00078418	0.11939517	41.18526316	6.50617284	8.13333333	0.06906264	1.38276923	0.08988000
0.00079577	0.11995654	41.18526316	6.50617284	8.13333333	0.06906264	1.38276923	0.08988000
0.00080734	0.11850356	41.18526316	6.50617284	8.13333333	0.06906264	1.38276923	0.08988000
0.00081891	0.11777068	41.18526316	6.50617284	8.13333333	0.06906264	1.38276923	0.08988000
0.00083047	0.11737626	41.18526316	6.50617284	8.13333333	0.06631718	1.38276923	0.08988000
0.00084207	0.11661317	41.18526316	6.50617284	8.13333333	0.06631718	1.38276923	0.08988000
0.00085364	0.11703075	41.18526316	6.50617284	8.13333333	0.06631718	1.38276923	0.08988000
0.00086520	0.11768260	41.18526316	6.50617284	8.13333333	0.06631718	1.38276923	0.08988000
0.00087679	0.11676886	41.18526316	6.50617284	8.13333333	0.06631718	1.38276923	0.08988000
0.00088836	0.11675033	41.18526316	6.50617284	8.13333333	0.07167821	1.38276923	0.08988000
0.00089993	0.11879322	41.18526316	6.50617284	8.13333333	0.07167821	1.38276923	0.08988000
0.00091150	0.11982585	41.18526316	6.50617284	8.13333333	0.07167821	1.38276923	0.08988000
