Capture V Flow mL/s (mL/s),Turbidity (),Fluoride Probe (volts),Fluoride Conc,,Average Turbidity,2.114917179
0.27314421,0.02459137,0.11007732,1.912958221,,Average Fluoride,2.107017834
0.27314421,0.02459137,0.10955878,1.963052717,,,
0.27314421,0.02459137,0.10996914,1.923302518,,,
0.27314421,0.02459137,0.10972512,1.946841852,,,
0.27314421,0.02459137,0.10964335,1.954794048,,,
0.27314421,0.02396935,0.10972904,1.946461443,,,
0.27314421,0.02396935,0.10937241,1.981376028,,,
0.27314421,0.02396935,0.11033229,1.888797251,,,
0.27314421,0.02396935,0.11016813,1.904317829,,,
0.27314421,0.02396935,0.11019756,1.901526004,,,
0.27314421,0.02560419,0.1099038,1.929577481,,,
0.27314421,0.02560419,0.11020452,1.900866355,,,
0.27314421,0.02560419,0.11092632,1.833683991,,,
0.27314421,0.02560419,0.10920136,1.998343606,,,
0.27314421,0.02560419,0.11031447,1.890475912,,,
0.27314421,0.02379333,0.11009295,1.911468269,,,
0.27314421,0.02379333,0.11004306,1.916228168,,,
0.27314421,0.02379333,0.10988924,1.930978545,,,
0.27314421,0.02379333,0.10945018,1.973709224,,,
0.27314421,0.02379333,0.10934544,1.984041761,,,
0.27314421,0.02599323,0.1100859,1.912140176,,,
0.27314421,0.02599323,0.10971536,1.947789317,,,
0.27314421,0.02599323,0.11028126,1.893608307,,,
0.27314421,0.02599323,0.10972896,1.946469205,,,
0.27314421,0.02599323,0.11067685,1.856630842,,,
0.27314421,0.02423523,0.11066519,1.857710353,,,
0.27314421,0.02423523,0.10959437,1.959572938,,,
0.27314421,0.02423523,0.10947272,1.971492712,,,
0.27314421,0.02423523,0.1103223,1.889738135,,,
0.27314421,0.02423523,0.11008555,1.91217354,,,
0.27314421,0.02891218,0.10965533,1.953626956,,,
0.27314421,0.02891218,0.10987184,1.932654229,,,
0.27314421,0.02891218,0.10992167,1.927859294,,,
0.27314421,0.02891218,0.10952483,1.966377906,,,
0.27314421,0.02891218,0.10960472,1.958562135,,,
0.27314421,0.027255,0.10992547,1.927494125,,,
0.27314421,0.027255,0.11019163,1.902088214,,,
0.27314421,0.027255,0.10993188,1.926878298,,,
0.27314421,0.027255,0.11015297,1.905757554,,,
0.27314421,0.027255,0.11016922,1.904214355,,,
0.27314421,0.02569612,0.11015414,1.905646402,,,
0.27314421,0.02569612,0.11032683,1.88931143,,,
0.27314421,0.02569612,0.10990652,1.929315856,,,
0.27314421,0.02569612,0.10996658,1.923547984,,,
0.27314421,0.02569612,0.10996535,1.923665934,,,
0.27314421,0.02449116,0.10956617,1.962329659,,,
0.27314421,0.02449116,0.10996642,1.923563327,,,
0.27314421,0.02449116,0.10999822,1.92051637,,,
