Capture V Flow mL/s (mL/s),Turbidity (),Fluoride Probe (volts),Fluoride Conc,,Average Turbidity,1.153164355
0.51897399,0.03986162,0.10683073,2.249027161,,Average Fluoride,2.0355341
0.51897399,0.03986162,0.10520101,2.439374111,,,
0.51897399,0.03986162,0.10476237,2.493302885,,,
0.51897399,0.03986162,0.1055357,2.399011424,,,
0.51897399,0.03986162,0.10431388,2.549675571,,,
0.51897399,0.04199029,0.10538103,2.417580518,,,
0.51897399,0.04199029,0.10604876,2.338430578,,,
0.51897399,0.04199029,0.10563622,2.387019909,,,
0.51897399,0.04199029,0.10545003,2.409278948,,,
0.51897399,0.04199029,0.10645716,2.291303156,,,
0.51897399,0.04179654,0.10543577,2.410992266,,,
0.51897399,0.04179654,0.10513373,2.447569505,,,
0.51897399,0.04179654,0.10492645,2.472991822,,,
0.51897399,0.04179654,0.10576795,2.3713959,,,
0.51897399,0.04179654,0.10510553,2.451012738,,,
0.51897399,0.04115524,0.10563312,2.387388825,,,
0.51897399,0.04115524,0.10580382,2.367159235,,,
0.51897399,0.04115524,0.1056067,2.390535262,,,
0.51897399,0.04115524,0.10521752,2.43736722,,,
0.51897399,0.04115524,0.10458253,2.515756512,,,
0.51897399,0.04269136,0.10600697,2.34330728,,,
0.51897399,0.04269136,0.10528335,2.429381588,,,
0.51897399,0.04269136,0.1058668,2.359738867,,,
0.51897399,0.04269136,0.10492426,2.473261824,,,
0.51897399,0.04269136,0.10548093,2.405570535,,,
0.51897399,0.04312303,0.10620508,2.320278561,,,
0.51897399,0.04312303,0.10568999,2.380630053,,,
0.51897399,0.04312303,0.10598794,2.345531363,,,
0.51897399,0.04312303,0.10586196,2.360308294,,,
0.51897399,0.04312303,0.10533795,2.422778084,,,
0.51897399,0.04212401,0.10497707,2.466759155,,,
0.51897399,0.04212401,0.10607331,2.335570439,,,
0.51897399,0.04212401,0.10503445,2.459713145,,,
0.51897399,0.04212401,0.10525227,2.43314854,,,
0.51897399,0.04212401,0.10540552,2.414630793,,,
0.51897399,0.04149643,0.10530499,2.426762224,,,
0.51897399,0.04149643,0.10536738,2.419226171,,,
0.51897399,0.04149643,0.10528689,2.428952903,,,
0.51897399,0.04149643,0.10527923,2.429880604,,,
0.51897399,0.04149643,0.10568143,2.38164615,,,
0.51897399,0.04046476,0.10558625,2.39297356,,,
0.51897399,0.04046476,0.10543419,2.411182175,,,
0.51897399,0.04046476,0.10570713,2.378596787,,,
0.51897399,0.04046476,0.10579618,2.368060973,,,
0.51897399,0.04046476,0.10555643,2.396533521,,,
0.51897399,0.03938991,0.10527744,2.430097441,,,
0.51897399,0.03938991,0.10527847,2.429972666,,,
0.51897399,0.03938991,0.10599087,2.34518879,,,
0.51897399,0.03938991,0.10499536,2.464511036,,,
0.51897399,0.03938991,0.10556983,2.394933152,,,
0.51897399,0.03896047,0.10568646,2.381049022,,,
0.51897399,0.03896047,0.10541905,2.413002701,,,
0.51897399,0.03896047,0.10532998,2.423740882,,,
0.51897399,0.03896047,0.1053787,2.417861345,,,
0.51897399,0.03896047,0.10531889,2.425081221,,,
0.51897399,0.03935138,0.10521961,2.437113286,,,
0.51897399,0.03935138,0.10586781,2.359620057,,,
0.51897399,0.03935138,0.10552464,2.400334498,,,
0.51897399,0.03935138,0.10552381,2.400433817,,,
0.51897399,0.03935138,0.10553192,2.399463531,,,
0.51897399,0.04021117,0.1056333,2.387367403,,,
0.51897399,0.04021117,0.10575096,2.373405263,,,
0.51897399,0.04021117,0.10641651,2.295951092,,,
0.51897399,0.04021117,0.10543179,2.411470674,,,
0.51897399,0.04021117,0.1056079,2.39039226,,,
0.51897399,0.0398142,0.10512119,2.449100047,,,
0.51897399,0.0398142,0.10542007,2.412880006,,,
0.51897399,0.0398142,0.10544515,2.409865135,,,
0.51897399,0.0398142,0.10519712,2.439847205,,,
0.51897399,0.0398142,0.10581711,2.365591454,,,
0.51897399,0.04017875,0.10555524,2.396675695,,,
0.51897399,0.04017875,0.10570355,2.379021328,,,
0.51897399,0.04017875,0.10588011,2.358173649,,,
0.51897399,0.04017875,0.10540806,2.414325066,,,
0.51897399,0.04017875,0.10612399,2.329677146,,,
0.51897399,0.03929123,0.10574314,2.374330686,,,
0.51897399,0.03929123,0.10530209,2.427113084,,,
0.51897399,0.03929123,0.10585535,2.361086185,,,
0.51897399,0.03929123,0.10610142,2.332299846,,,
0.51897399,0.03929123,0.10547787,2.405937521,,,
0.51897399,0.03826082,0.105026,2.460749503,,,
0.51897399,0.03826082,0.10571106,2.378130828,,,
0.51897399,0.03826082,0.10579225,2.36852496,,,
0.51897399,0.03826082,0.10642367,2.295131731,,,
0.51897399,0.03826082,0.10608438,2.334281899,,,
0.51897399,0.03826082,0.10555609,2.396574142,,,
0.51897399,0.03790076,0.10497101,2.467504474,,,
0.51897399,0.03790076,0.10549052,2.404420768,,,
0.51897399,0.03790076,0.105072,2.45511307,,,
0.51897399,0.03790076,0.10572816,2.376104435,,,
0.51897399,0.03790076,0.1059126,2.354357276,,,
0.51897399,0.03745497,0.10587826,2.358391141,,,
0.51897399,0.03745497,0.10601176,2.342747794,,,
0.51897399,0.03745497,0.1059101,2.354650714,,,
0.51897399,0.03745497,0.10546998,2.406884028,,,
0.51897399,0.03745497,0.10549263,2.404167869,,,
0.51897399,0.03714734,0.10548942,2.404552622,,,
0.51897399,0.03714734,0.10601498,2.342371763,,,
0.51897399,0.03714734,0.10544863,2.409447102,,,
0.51897399,0.03714734,0.10553245,2.399400135,,,
0.51897399,0.03714734,0.10506777,2.455630838,,,
0.51897399,0.03702404,0.10576218,2.372078112,,,
0.51897399,0.03702404,0.10556926,2.395001206,,,
0.51897399,0.03702404,0.10646032,2.290942234,,,
0.51897399,0.03702404,0.10480675,2.487792792,,,
0.51897399,0.03702404,0.10476089,2.493486848,,,
0.51897399,0.03773914,0.10577255,2.370852163,,,
0.51897399,0.03773914,0.10569687,2.379813691,,,
0.51897399,0.03773914,0.10602157,2.341602372,,,
0.51897399,0.03773914,0.10514644,2.44601919,,,
0.51897399,0.03773914,0.10534128,2.422375924,,,
0.51897399,0.03763118,0.10631814,2.307237806,,,
0.51897399,0.03763118,0.10627497,2.31220852,,,
0.51897399,0.03763118,0.10542101,2.412766941,,,
0.51897399,0.03763118,0.10522316,2.436682023,,,
0.51897399,0.03763118,0.10577976,2.370000165,,,
0.51897399,0.03787071,0.10639959,2.297888509,,,
0.51897399,0.03787071,0.10569273,2.380304898,,,
0.51897399,0.03787071,0.10550778,2.402352812,,,
0.51897399,0.03787071,0.10536423,2.419606097,,,
0.51897399,0.03787071,0.10572831,2.376086667,,,
0.51897399,0.03777639,0.10603045,2.340566021,,,
0.51897399,0.03777639,0.10624789,2.315332051,,,
0.51897399,0.03777639,0.10457956,2.516129019,,,
0.51897399,0.03777639,0.10518982,2.440735263,,,
0.51897399,0.03777639,0.10550781,2.402349219,,,
0.51897399,0.03769246,0.10529254,2.42826886,,,
0.51897399,0.03769246,0.10648543,2.288076302,,,
0.51897399,0.03769246,0.10614523,2.32721169,,,
0.51897399,0.03769246,0.10529339,2.428165968,,,
0.51897399,0.03769246,0.10569355,2.380207598,,,
0.51897399,0.03731611,0.10590844,2.354845577,,,
0.51897399,0.03731611,0.10630121,2.309185899,,,
0.51897399,0.03731611,0.10570423,2.378940683,,,
0.51897399,0.03731611,0.10508669,2.453315809,,,
0.51897399,0.03731611,0.10559737,2.39164739,,,
0.51897399,0.03719402,0.10598987,2.345305703,,,
0.51897399,0.03719402,0.1059161,2.353946524,,,
0.51897399,0.03719402,0.10568236,2.381535735,,,
0.51897399,0.03719402,0.1051773,2.442259096,,,
0.51897399,0.03719402,0.10569692,2.379807759,,,
0.51897399,0.03654947,0.10568884,2.380766536,,,
0.51897399,0.03654947,0.10687267,2.244329885,,,
0.51897399,0.03654947,0.1056053,2.390702107,,,
0.51897399,0.03654947,0.10536654,2.419327479,,,
0.51897399,0.03654947,0.10604883,2.338422418,,,
0.51897399,0.03588941,0.10598744,2.345589828,,,
0.51897399,0.03588941,0.10539827,2.415503652,,,
0.51897399,0.03588941,0.10476807,2.492594507,,,
0.51897399,0.03588941,0.10574573,2.374024144,,,
0.51897399,0.03588941,0.10668088,2.265890809,,,
0.51897399,0.0350984,0.10523643,2.435070624,,,
0.51897399,0.0350984,0.10495409,2.469586654,,,
0.51897399,0.0350984,0.1062942,2.309993003,,,
0.51897399,0.0350984,0.1057221,2.376822362,,,
0.51897399,0.0350984,0.10426873,2.555420815,,,
0.51897399,0.03500165,0.10600954,2.34300708,,,
0.51897399,0.03500165,0.10700567,2.229498683,,,
0.51897399,0.03500165,0.10491635,2.474237283,,,
0.51897399,0.03500165,0.10590708,2.355005236,,,
0.51897399,0.03500165,0.10555529,2.396669722,,,
0.51897399,0.03653306,0.10504892,2.457939474,,,
0.51897399,0.03653306,0.10501502,2.462096807,,,
0.51897399,0.03653306,0.1070779,2.221485223,,,
0.51897399,0.03653306,0.10525759,2.432503332,,,
0.51897399,0.03653306,0.10483385,2.484434124,,,
0.51897399,0.03608736,0.10635421,2.303092801,,,
0.51897399,0.03608736,0.10569108,2.380500698,,,
0.51897399,0.03608736,0.10469025,2.502283139,,,
0.51897399,0.03608736,0.10601304,2.342598308,,,
0.51897399,0.03608736,0.10658,2.277314685,,,
0.51897399,0.03577573,0.10491292,2.47466039,,,
0.51897399,0.03577573,0.10575897,2.372457729,,,
0.51897399,0.03577573,0.10644114,2.293133764,,,
0.51897399,0.03577573,0.1050159,2.461988799,,,
0.51897399,0.03577573,0.10532876,2.423888295,,,
0.51897399,0.03658266,0.10653625,2.282286921,,,
0.51897399,0.03658266,0.10558171,2.393515211,,,
0.51897399,0.03658266,0.10560358,2.390907105,,,
0.51897399,0.03658266,0.10596234,2.348526629,,,
0.51897399,0.03658266,0.1067858,2.254070226,,,
0.51897399,0.03645743,0.10468148,2.503377368,,,
0.51897399,0.03645743,0.10602307,2.341427281,,,
0.51897399,0.03645743,0.1071422,2.214375781,,,
0.51897399,0.03645743,0.10449012,2.527372743,,,
0.51897399,0.03645743,0.10582971,2.364106028,,,
0.51897399,0.03602999,0.10748114,2.177274646,,,
0.51897399,0.03602999,0.10467174,2.504593183,,,
0.51897399,0.03602999,0.10571382,2.377803644,,,
0.51897399,0.03602999,0.10729744,2.197305036,,,
0.51897399,0.03602999,0.10445623,2.531646253,,,
0.51897399,0.03588361,0.10616588,2.32481722,,,
0.51897399,0.03588361,0.10667153,2.26694721,,,
0.51897399,0.03588361,0.10490728,2.475356267,,,
0.51897399,0.03588361,0.10629895,2.309446075,,,
0.51897399,0.03588361,0.10645503,2.291546467,,,
0.51897399,0.03824553,0.10497861,2.466569787,,,
0.51897399,0.03824553,0.10620691,2.320066897,,,
0.51897399,0.03824553,0.10648931,2.287633777,,,
0.51897399,0.03824553,0.10447375,2.52943609,,,
0.51897399,0.03824553,0.10657888,2.277441839,,,
0.51897399,0.03721349,0.10660706,2.27424471,,,
0.51897399,0.03721349,0.10524897,2.433548849,,,
0.51897399,0.03721349,0.10660391,2.274601867,,,
0.51897399,0.03721349,0.10646091,2.290874854,,,
0.51897399,0.03721349,0.10575946,2.372399778,,,
0.51897399,0.03683525,0.10690833,2.240343685,,,
0.51897399,0.03683525,0.10471302,2.499444371,,,
