Day fraction since midnight on 11/13/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()	Capture Velocity Pump ()	Capture V Flow mL/s (mL/s)
0.55404835	0.08495748	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55405993	0.08342444	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55407150	0.08455860	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55408306	0.08534394	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55409465	0.08612853	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55410621	0.08535077	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55411780	0.08547867	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55412937	0.08465503	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55414093	0.08578947	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55415251	0.08528081	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55416408	0.08554887	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55417567	0.08222339	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55418724	0.08415290	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55419882	0.08605938	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55421039	0.08703224	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55422195	0.08541980	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55423354	0.08499309	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55424511	0.08647702	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55425668	0.08645453	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55426824	0.08721045	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55427984	0.08571918	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55429140	0.08621529	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55430298	0.08653379	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55431455	0.08616249	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55432613	0.08197451	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55433770	0.08672182	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55434927	0.08586855	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55436084	0.08564191	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55437243	0.08459222	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55438399	0.08062044	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55439559	0.08349807	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55440715	0.08482458	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55441871	0.08362624	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55443030	0.08192557	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55444187	0.08506881	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55445343	0.08310466	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
0.55446501	0.08368587	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000	0.00000000	-0.02448000
