Day fraction since midnight on 11/2/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.40037932	0.41521999	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06778196
0.40039090	0.41182071	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240581
0.40040247	0.41297746	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240581
0.40041405	0.41289556	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240581
0.40042561	0.41247326	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240581
0.40043718	0.41354704	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04240581
0.40044877	0.41123176	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02353211
0.40046034	0.41099751	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02353211
0.40047191	0.41035292	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02353211
0.40048350	0.40920582	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02353211
0.40049506	0.40969422	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02353211
0.40050663	0.40964258	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01422136
0.40051820	0.40810522	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01422136
0.40052978	0.41010961	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01422136
0.40054135	0.40552777	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01422136
0.40055294	0.40773398	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01422136
0.40056450	0.40611574	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03418254
0.40057607	0.40625960	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03418254
0.40058766	0.40907398	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03418254
0.40059923	0.41013041	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03418254
0.40061052	0.40914091	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03418254
0.40062237	0.40780327	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06984127
0.40063394	0.40705201	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06984127
0.40064553	0.40586838	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06984127
0.40065711	0.40469459	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06984127
0.40066867	0.40300590	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06984127
0.40068024	0.40489799	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06194676
0.40069181	0.40592104	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06194676
0.40070340	0.40552083	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06194676
0.40071497	0.40659636	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06194676
0.40072654	0.40447462	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.06194676
0.40073810	0.40472394	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04806388
0.40074970	0.40370059	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04806388
0.40076126	0.40424868	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04806388
0.40077283	0.40244976	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04806388
0.40078442	0.40183643	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04806388
0.40079599	0.39888382	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02844744
0.40080756	0.40080139	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02844744
0.40081913	0.40036929	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02844744
0.40083070	0.39952743	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02844744
0.40084229	0.39775062	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.02844744
0.40085385	0.39965069	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01654868
0.40086544	0.39880535	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01654868
0.40087701	0.39962494	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01654868
0.40088858	0.39784163	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01654868
0.40090017	0.39674664	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.01654868
0.40091173	0.39579430	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03775271
0.40092331	0.39469838	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03775271
0.40093488	0.39433122	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03775271
0.40094644	0.39333433	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03775271
0.40095801	0.39298177	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.03775271
0.40096960	0.39293516	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15363219
0.40098118	0.39164686	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15363219
0.40099274	0.39294389	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15363219
0.40100431	0.39446697	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15363219
0.40101589	0.39292940	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.15363219
0.40102748	0.39168650	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13634104
0.40103904	0.39222062	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13634104
0.40105061	0.39027146	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13634104
0.40106220	0.39312202	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13634104
0.40107377	0.38990331	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.13634104
0.40108533	0.39099306	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08555051
0.40109690	0.39291850	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08555051
0.40110848	0.39068693	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08555051
0.40112006	0.38955966	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08555051
0.40113163	0.38812894	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.08555051
0.40114320	0.39041376	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05153584
0.40115479	0.38907966	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05153584
0.40116636	0.38778195	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05153584
0.40117792	0.38383669	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05153584
0.40118952	0.38235906	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.05153584
0.40120108	0.38603196	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	0.04038950
