Day fraction since midnight on 11/1/2019	Fluoride Probe (volts)	Coag Flow mL/s ()	Water Flow mL/s ()	Manual Water Pump Control (rpm)	Manual Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.73261587	0.31409463	0.00065870	0.65408300	0.00000000	0.00000000	0.00000000	-999.00000000
0.73262480	0.31430823	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73263637	0.31554285	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73264796	0.26770827	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73265953	0.22520916	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73267110	0.29099023	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73268267	0.55831903	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73269424	0.50991410	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73270583	0.49940595	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73271740	0.54776812	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73272896	0.52950364	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73274055	0.50787216	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73275212	0.50864953	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73276369	0.53040832	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73277526	0.51105028	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73278685	0.47859389	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73279842	0.47426441	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73281000	0.47321123	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73282156	0.48212531	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73283313	0.49001244	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73284470	0.48870000	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73285629	0.49341097	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73286786	0.50507540	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73287942	0.51415116	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73289101	0.48441839	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73290260	0.48386049	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73291415	0.49900258	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73292572	0.49598765	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73293731	0.49199834	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73294888	0.49961165	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73296045	0.50707847	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73297204	0.50705922	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73298360	0.52341110	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73299517	0.52502412	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73300674	0.51974392	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73301833	0.51758623	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73302989	0.52363944	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73304146	0.53929627	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73305305	0.47661203	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73306462	0.54288417	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73307619	0.54991996	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73308777	0.54028058	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73309934	0.53401452	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73311091	0.53427494	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73312250	0.53175169	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73313406	0.52807814	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
0.73314563	0.52579844	0.00065870	0.65474130	0.00000000	0.00000000	0.00000000	-999.00000000
