Effluent Fluoride Concentration	(mg/L) Uptake (mg Fluoride/g PACl)
16.15	366.5577263
16.2	366.9432065
16.25	367.3271186
16.3	367.7094723
16.35	368.0902768
16.4	368.4695418
16.45	368.8472764
16.5	369.2234899
16.55	369.5981916
16.6	369.9713904
16.65	370.3430954
16.7	370.7133156
16.75	371.0820598
16.8	371.4493369
16.85	371.8151555
16.9	372.1795244
16.95	372.5424522
17	372.9039474
17.05	373.2640184
17.1	373.6226737
17.15	373.9799215
17.2	374.3357702
17.25	374.690228
17.3	375.043303
17.35	375.3950032
17.4	375.7453368
17.45	376.0943116
17.5	376.4419355
17.55	376.7882164
17.6	377.133162
17.65	377.47678
17.7	377.8190781
17.75	378.1600639
17.8	378.4997449
17.85	378.8381286
17.9	379.1752224
17.95	379.5110336
18	379.8455696
18.05	380.1788377
18.1	380.5108449
18.15	380.8415985
18.2	381.1711055
18.25	381.499373
18.3	381.826408
18.35	382.1522174
18.4	382.476808
18.45	382.8001867
18.5	383.1223602
18.55	383.4433354
18.6	383.7631188
18.65	384.0817171
18.7	384.3991369
18.75	384.7153846
18.8	385.0304668
18.85	385.3443899
18.9	385.6571603
18.95	385.9687844
19	386.2792683
19.05	386.5886184
19.1	386.8968408
19.15	387.2039418
19.2	387.5099274
19.25	387.8148036
19.3	388.1185766
19.35	388.4212523
19.4	388.7228365
19.45	389.0233353
19.5	389.3227545
19.55	389.6210998
19.6	389.9183771
19.65	390.214592
19.7	390.5097503
19.75	390.8038576
19.8	391.0969194
19.85	391.3889415
19.9	391.6799292
19.95	391.969888
20	392.2588235
