Day fraction since midnight on 10/6/2019	Water Pump Control (rpm)	Coagulant Pump Control (rpm)	Fluoride Pump Control ()	Turbidity ()
0.43514790	0.00000000	0.00000000	0.00000000	-999.00000000
0.43515947	0.00000000	0.00000000	0.00000000	-999.00000000
0.43517104	0.00000000	0.00000000	0.00000000	-999.00000000
0.43518263	0.00000000	0.00000000	0.00000000	-999.00000000
0.43519419	0.00000000	0.00000000	0.00000000	-999.00000000
0.43520579	0.00000000	0.00000000	0.00000000	-999.00000000
0.43521736	0.00000000	0.00000000	0.00000000	-999.00000000
0.43522890	0.00000000	0.00000000	0.00000000	-999.00000000
0.43524049	0.00000000	0.00000000	0.00000000	-999.00000000
0.43525207	0.00000000	0.00000000	0.00000000	-999.00000000
0.43526364	0.00000000	0.00000000	0.00000000	-999.00000000
0.43527523	0.00000000	0.00000000	0.00000000	-999.00000000
0.43528678	0.00000000	0.00000000	0.00000000	-999.00000000
0.43529838	0.00000000	0.00000000	0.00000000	-999.00000000
0.43530992	0.00000000	0.00000000	0.00000000	-999.00000000
0.43532151	0.00000000	0.00000000	0.00000000	-999.00000000
0.43533308	0.00000000	0.00000000	0.00000000	-999.00000000
0.43534465	0.00000000	0.00000000	0.00000000	-999.00000000
0.43535624	0.00000000	0.00000000	0.00000000	-999.00000000
0.43536780	0.00000000	0.00000000	0.00000000	-999.00000000
0.43537937	0.00000000	0.00000000	0.00000000	-999.00000000
0.43539094	0.00000000	0.00000000	0.00000000	-999.00000000
0.43540253	0.00000000	0.00000000	0.00000000	-999.00000000
0.43541410	0.00000000	0.00000000	0.00000000	-999.00000000
0.43542567	0.00000000	0.00000000	0.00000000	-999.00000000
0.43543724	0.00000000	0.00000000	0.00000000	-999.00000000
0.43544883	0.00000000	0.00000000	0.00000000	-999.00000000
0.43546040	0.00000000	0.00000000	0.00000000	-999.00000000
0.43547197	0.00000000	0.00000000	0.00000000	-999.00000000
0.43548354	0.00000000	0.00000000	0.00000000	-999.00000000
0.43549513	0.00000000	0.00000000	0.00000000	-999.00000000
0.43550668	0.00000000	0.00000000	0.00000000	-999.00000000
0.43551827	0.00000000	0.00000000	0.00000000	-999.00000000
0.43552984	0.00000000	0.00000000	0.00000000	-999.00000000
0.43554141	0.00000000	0.00000000	0.00000000	-999.00000000
0.43555298	0.00000000	0.00000000	0.00000000	-999.00000000
0.43556457	0.00000000	0.00000000	0.00000000	-999.00000000
0.43557614	0.00000000	0.00000000	0.00000000	-999.00000000
0.43558771	0.00000000	0.00000000	0.00000000	-999.00000000
0.43559928	0.00000000	0.00000000	0.00000000	-999.00000000
0.43561085	0.00000000	0.00000000	0.00000000	-999.00000000
0.43562242	0.00000000	0.00000000	0.00000000	-999.00000000
0.43563402	0.00000000	0.00000000	0.00000000	-999.00000000
0.43564557	0.00000000	0.00000000	0.00000000	-999.00000000
0.43565715	0.00000000	0.00000000	0.00000000	-999.00000000
0.43566872	0.00000000	0.00000000	0.00000000	-999.00000000
0.43568031	0.00000000	0.00000000	0.00000000	-999.00000000
0.43569188	0.00000000	0.00000000	0.00000000	-999.00000000
0.43570345	0.00000000	0.00000000	0.00000000	-999.00000000
0.43571502	0.00000000	0.00000000	0.00000000	-999.00000000
0.43572659	0.00000000	0.00000000	0.00000000	-999.00000000
0.43573818	0.00000000	0.00000000	0.00000000	-999.00000000
0.43574975	0.00000000	0.00000000	0.00000000	-999.00000000
0.43576132	0.00000000	0.00000000	0.00000000	-999.00000000
0.43577289	0.00000000	0.00000000	0.00000000	-999.00000000
0.43578446	0.00000000	0.00000000	0.00000000	-999.00000000
0.43579603	0.00000000	0.00000000	0.00000000	-999.00000000
0.43580762	0.00000000	0.00000000	0.00000000	-999.00000000
0.43581920	0.00000000	0.00000000	0.00000000	-999.00000000
0.43583076	0.00000000	0.00000000	0.00000000	-999.00000000
0.43584233	0.00000000	0.00000000	0.00000000	-999.00000000
0.43585390	0.00000000	0.00000000	0.00000000	-999.00000000
0.43586548	0.00000000	0.00000000	0.00000000	-999.00000000
0.43587707	0.00000000	0.00000000	0.00000000	-999.00000000
0.43588864	0.00000000	0.00000000	0.00000000	-999.00000000
0.43590020	0.00000000	0.00000000	0.00000000	-999.00000000
0.43591177	0.00000000	0.00000000	0.00000000	-999.00000000
0.43592336	0.00000000	0.00000000	0.00000000	-999.00000000
0.43593494	0.00000000	0.00000000	0.00000000	-999.00000000
0.43594651	0.00000000	0.00000000	0.00000000	-999.00000000
0.43595808	0.00000000	0.00000000	0.00000000	-999.00000000
0.43596967	0.00000000	0.00000000	0.00000000	-999.00000000
0.43598124	0.00000000	0.00000000	0.00000000	-999.00000000
0.43599281	0.00000000	0.00000000	0.00000000	-999.00000000
0.43600437	0.00000000	0.00000000	0.00000000	-999.00000000
0.43601594	0.00000000	0.00000000	0.00000000	-999.00000000
0.43602751	0.00000000	0.00000000	0.00000000	-999.00000000
0.43603911	0.00000000	0.00000000	0.00000000	-999.00000000
0.43605068	0.00000000	0.00000000	0.00000000	-999.00000000
0.43606225	0.00000000	0.00000000	0.00000000	-999.00000000
0.43607382	0.00000000	0.00000000	0.00000000	-999.00000000
0.43608540	0.00000000	0.00000000	0.00000000	-999.00000000
0.43609699	0.00000000	0.00000000	0.00000000	-999.00000000
0.43610853	0.00000000	0.00000000	0.00000000	-999.00000000
0.43612012	0.00000000	0.00000000	0.00000000	-999.00000000
0.43613169	0.00000000	0.00000000	0.00000000	-999.00000000
