PACl mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0032919	2.55264449	0.10032142	2.87546162
0.0032919	2.55264449	0.10142997	2.72496311
0.0032919	2.55264449	0.09805816	3.20902897
0.0032919	2.55264449	0.1016775	2.692448765
0.0032919	2.55264449	0.09776372	3.255178282
0.0032919	3.24483395	0.10213713	2.633099515
0.0032919	3.24483395	0.09953121	2.987789721
0.0032919	3.24483395	0.10067292	2.82686263
0.0032919	3.24483395	0.0993114	3.019808498
0.0032919	3.24483395	0.1002039	2.891895799
0.0032919	3.24483395	0.09980144	2.948891334
0.0032919	2.56174922	0.10042252	2.861398391
0.0032919	2.56174922	0.09957212	2.981868118
0.0032919	2.56174922	0.09970332	2.962956358
0.0032919	2.56174922	0.10028673	2.880302984
0.0032919	2.56174922	0.09902515	3.062020235
0.0032919	2.23208332	0.10128871	2.743694013
0.0032919	2.23208332	0.09824604	3.17992396
0.0032919	2.23208332	0.10167079	2.693325021
0.0032919	2.23208332	0.09805807	3.209042976
0.0032919	2.23208332	0.10084748	2.803033781
0.0032919	1.8423146	0.09796835	3.223035642
0.0032919	1.8423146	0.10167895	2.692259448
0.0032919	1.8423146	0.09897042	3.070157913
0.0032919	1.8423146	0.10027026	2.882604404
0.0032919	1.8423146	0.10108241	2.771280707
0.0032919	1.87294769	0.09890375	3.080100146
0.0032919	1.87294769	0.10123549	2.750784264
0.0032919	1.87294769	0.09849806	3.14129695
0.0032919	1.87294769	0.10141979	2.726308679
0.0032919	1.87294769	0.098082	3.205321144
0.0032919	1.99874115	0.10166958	2.693483065
0.0032919	1.99874115	0.09788438	3.236186809
0.0032919	1.99874115	0.10184792	2.670288999
0.0032919	1.99874115	0.09921397	3.034110242
0.0032919	1.99874115	0.10157367	2.706039867
0.0032919	1.73507988	0.10031544	2.876295613
0.0032919	1.73507988	0.10029683	2.87889258
0.0032919	1.73507988	0.09995562	2.926925143
0.0032919	1.73507988	0.09987661	2.938161265
0.0032919	1.73507988	0.09945849	2.998344774
0.0032919	1.7151773	0.1002482	2.885689817
0.0032919	1.7151773	0.10044117	2.85881166
0.0032919	1.7151773	0.09905228	3.057994338
0.0032919	1.7151773	0.10104173	2.77675314
0.0032919	1.7151773	0.098356	3.163012365
0.0032919	1.24990571	0.10210267	2.6375034
0.0032919	1.24990571	0.09767006	3.269996845
0.0032919	1.24990571	0.10265111	2.568280438
0.0032919	1.24990571	0.09822897	3.182557383
0.0032919	1.24990571	0.10124135	2.750002667
0.0032919	0.98694283	0.09811172	3.200704802
0.0032919	0.98694283	0.10180429	2.675944792
0.0032919	0.98694283	0.1000786	2.909521417
0.0032919	0.98694283	0.09948512	2.994475202
0.0032919	0.98694283	0.10247353	2.590492985
0.0032919	1.21763408	0.09809826	3.20279469
0.0032919	1.21763408	0.10224041	2.619944635
0.0032919	1.21763408	0.09833883	3.165647134
0.0032919	1.21763408	0.10227977	2.614948625
0.0032919	1.21763408	0.09794252	3.227075369
0.0032919	1.33306611	0.10131378	2.74036039
0.0032919	1.33306611	0.09849267	3.142118143
0.0032919	1.33306611	0.10021914	2.889759324
0.0032919	1.33306611	0.1014677	2.719981833
0.0032919	1.33306611	0.09798916	3.219784704
0.0032919	2.83761048	0.10160106	2.702447933
0.0032919	2.83761048	0.09926192	3.027063219
0.0032919	2.83761048	0.10046612	2.855354783
0.0032919	2.83761048	0.10138921	2.730354672
0.0032919	2.83761048	0.09844552	3.149310832
0.0032919	2.34034038	0.10180786	2.675481561
0.0032919	2.34034038	0.09818833	3.188835775
0.0032919	2.34034038	0.10163239	2.698345151
0.0032919	2.34034038	0.0984903	3.142479291
0.0032919	2.34034038	0.10179505	2.677144117
0.0032919	1.89102292	0.10034534	2.872128067
0.0032919	1.89102292	0.09992878	2.930737269
0.0032919	1.89102292	0.10139012	2.730234185
0.0032919	1.89102292	0.09806361	3.208180956
0.0032919	1.89102292	0.10298654	2.526841612
0.0032919	1.38486791	0.09831059	3.169985389
0.0032919	1.38486791	0.10190831	2.662480312
0.0032919	1.38486791	0.0995961	2.97840254
0.0032919	1.38486791	0.10069989	2.823167819
0.0032919	1.38486791	0.10117863	2.758379702
0.0032919	1.33729601	0.09847771	3.144398496
0.0032919	1.33729601	0.10260107	2.574520334
0.0032919	1.33729601	0.09943566	3.001666153
0.0032919	1.33729601	0.09935827	3.012952488
0.0032919	1.33729601	0.10223716	2.620357587
0.0032919	1.25390911	0.09835686	3.162880454
0.0032919	1.25390911	0.10218105	2.627497327
0.0032919	1.25390911	0.10063822	2.831623542
0.0032919	1.25390911	0.09815646	3.193767972
0.0032919	1.25390911	0.10231499	2.610486187
0.0032919	1.54523396	0.09974551	2.956900425
0.0032919	1.54523396	0.09967084	2.967626971
0.0032919	1.54523396	0.10209478	2.638512754
0.0032919	1.54523396	0.09822483	3.183196397
0.0032919	1.54523396	0.1028956	2.538009769
0.0032919	1.24227941	0.09888314	3.083180144
0.0032919	1.24227941	0.10133553	2.737471517
0.0032919	1.24227941	0.10189445	2.664270448
0.0032919	1.24227941	0.09805154	3.210059337
0.0032919	1.24227941	0.10199333	2.651525547
0.0032919	1.52882063	0.10158113	2.705061087
0.0032919	1.52882063	0.09737586	3.316984336
0.0032919	1.52882063	0.10185339	2.669580762
0.0032919	1.52882063	0.10202982	2.646837673
0.0032919	1.52882063	0.09810055	3.202439033
0.0032919	1.16063619	0.10176049	2.681634672
0.0032919	1.16063619	0.10202701	2.647198379
0.0032919	1.16063619	0.09758593	3.283365108
0.0032919	1.16063619	0.10053894	2.845289298
0.0032919	1.16063619	0.10319846	2.501006474
0.0032919	1.17656517	0.09794131	3.227264733
0.0032919	1.17656517	0.10110497	2.768250498
0.0032919	1.17656517	0.10267159	2.565730984
0.0032919	1.17656517	0.09874596	3.103759206
0.0032919	1.17656517	0.09920806	3.034979946
0.0032919	1.01925373	0.10344042	2.471831971
0.0032919	1.01925373	0.1011237	2.765737244
0.0032919	1.01925373	0.0978292	3.244858165
0.0032919	1.01925373	0.10176927	2.680493129
0.0032919	1.01925373	0.10212115	2.635140796
0.0032919	1.03184855	0.09773238	3.260129298
0.0032919	1.03184855	0.10214663	2.631886737
0.0032919	1.03184855	0.10198358	2.652779536
0.0032919	1.03184855	0.09869923	3.110800727
0.0032919	1.03184855	0.09994674	2.928185834
0.0032919	1.17542613	0.10327593	2.49162819
0.0032919	1.17542613	0.10157895	2.705347074
0.0032919	1.17542613	0.09813879	3.196505865
0.0032919	1.17542613	0.10183449	2.672028666
0.0032919	1.17542613	0.1030933	2.51379333
0.0032919	1.12051487	0.09896293	3.071273265
0.0032919	1.12051487	0.09880616	3.094711442
0.0032919	1.12051487	0.10266927	2.566019662
0.0032919	1.12051487	0.10167665	2.692559751
0.0032919	1.12051487	0.09768867	3.267047075
0.0032919	1.04561031	0.10250824	2.58613624
0.0032919	1.04561031	0.10142612	2.725471916
0.0032919	1.04561031	0.09868541	3.112886257
0.0032919	1.04561031	0.1028003	2.549766339
0.0032919	1.04561031	0.10145573	2.721561177
0.0032919	0.82113546	0.0981533	3.194257429
0.0032919	0.82113546	0.10204945	2.644319234
0.0032919	0.82113546	0.10232013	2.609835576
0.0032919	0.82113546	0.09761202	3.279213569
0.0032919	0.82113546	0.10121007	2.754177315
0.0032919	1.15664744	0.10349365	2.465459534
0.0032919	1.15664744	0.10059134	2.838068312
0.0032919	1.15664744	0.09920981	3.034722393
0.0032919	1.15664744	0.10289365	2.538249784
0.0032919	1.15664744	0.10242575	2.596502263
0.0032919	1.88589966	0.09834148	3.165240343
0.0032919	1.88589966	0.10141937	2.726364208
0.0032919	1.88589966	0.10359982	2.452798398
0.0032919	1.88589966	0.10054584	2.844337394
0.0032919	1.88589966	0.09732994	3.324379017
0.0032919	2.07623649	0.10215929	2.630271418
0.0032919	2.07623649	0.10233399	2.608082015
0.0032919	2.07623649	0.0986352	3.120475052
0.0032919	2.07623649	0.10071891	2.820565039
0.0032919	2.07623649	0.10350849	2.463685892
0.0032919	1.77414918	0.10090252	2.795562109
0.0032919	1.77414918	0.09842772	3.152030485
0.0032919	1.77414918	0.10174989	2.683013492
0.0032919	1.77414918	0.10371327	2.439340949
0.0032919	1.77414918	0.09987582	2.93827383
0.0032919	1.81336486	0.09762675	3.276871996
0.0032919	1.81336486	0.10243315	2.595570655
0.0032919	1.81336486	0.10415345	2.387822082
0.0032919	1.81336486	0.10105763	2.774612924
0.0032919	1.81336486	0.0981776	3.190495498
0.0032919	1.3539685	0.10210247	2.637528981
0.0032919	1.3539685	0.1032238	2.497935012
0.0032919	1.3539685	0.10038212	2.867009849
