PACl mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0026336	0.06572042	0.09999134	2.921859466
0.0026336	0.06572042	0.1032607	2.493469107
0.0026336	0.06572042	0.10037966	2.867351892
0.0026336	0.06572042	0.10104923	2.775743399
0.0026336	0.06572042	0.10281515	2.547930811
0.0026336	0.06572042	0.09940141	3.00665585
0.0026336	0.08101525	0.10329983	2.488742033
0.0026336	0.08101525	0.09996901	2.925025195
0.0026336	0.08101525	0.10093959	2.790541089
0.0026336	0.08101525	0.10299183	2.526193473
0.0026336	0.08101525	0.09952956	2.9880288
0.0026336	0.07472982	0.10205328	2.643828142
0.0026336	0.07472982	0.10273676	2.557635119
0.0026336	0.07472982	0.09866699	3.11566813
0.0026336	0.07472982	0.10263498	2.570290166
0.0026336	0.07472982	0.10410203	2.393783727
0.0026336	0.07024182	0.09907436	3.054721732
0.0026336	0.07024182	0.10052035	2.847855508
0.0026336	0.07024182	0.10327335	2.491939951
0.0026336	0.07024182	0.10398337	2.40759806
0.0026336	0.07024182	0.10039614	2.86506126
0.0026336	0.07767311	0.09908103	3.053733821
0.0026336	0.07767311	0.10330714	2.487859947
0.0026336	0.07767311	0.10160497	2.701935563
0.0026336	0.07767311	0.09880995	3.094142707
0.0026336	0.07767311	0.10371274	2.439403646
0.0026336	0.07797602	0.10256583	2.578923792
0.0026336	0.07797602	0.09882848	3.091363562
0.0026336	0.07797602	0.10228517	2.61426394
0.0026336	0.07797602	0.1036213	2.450244753
0.0026336	0.07797602	0.09923588	3.030888182
0.0026336	0.06815068	0.10122023	2.752820661
0.0026336	0.06815068	0.10389449	2.417997617
0.0026336	0.06815068	0.10313516	2.508695579
0.0026336	0.06815068	0.09852422	3.137314395
0.0026336	0.06815068	0.10153818	2.710701139
0.0026336	0.06530923	0.10466258	2.329588854
0.0026336	0.06530923	0.10334643	2.483124241
0.0026336	0.06530923	0.10042029	2.861707846
0.0026336	0.06530923	0.09981825	2.946488411
0.0026336	0.06530923	0.10308138	2.515246852
0.0026336	0.06119354	0.10488997	2.304041328
0.0026336	0.06119354	0.10281552	2.547885094
0.0026336	0.06119354	0.09990408	2.934249835
0.0026336	0.06119354	0.09999833	2.920869196
0.0026336	0.06119354	0.10281429	2.548037075
0.0026336	0.06543478	0.10437457	2.362354125
0.0026336	0.06543478	0.10274947	2.556059174
0.0026336	0.06543478	0.09877677	3.099125315
0.0026336	0.06543478	0.10164022	2.697320756
0.0026336	0.06543478	0.10536889	2.251146854
0.0026336	0.07648885	0.10389945	2.417416082
0.0026336	0.07648885	0.10096911	2.786549144
0.0026336	0.07648885	0.10003757	2.915316314
0.0026336	0.07648885	0.10385507	2.422624389
0.0026336	0.07648885	0.10525361	2.263766955
0.0026336	0.06995817	0.10386925	2.420959047
0.0026336	0.06995817	0.0993169	3.019003166
0.0026336	0.06995817	0.10333223	2.484834756
0.0026336	0.06995817	0.10584091	2.200202781
0.0026336	0.06995817	0.1037067	2.440118265
0.0026336	0.06346918	0.1001375	2.90122277
0.0026336	0.06346918	0.10188939	2.66492429
0.0026336	0.06346918	0.10542448	2.245086392
0.0026336	0.06346918	0.10396241	2.410046483
0.0026336	0.06346918	0.10086576	2.800550061
0.0026336	0.06202967	0.10103558	2.777581402
0.0026336	0.06202967	0.10445137	2.353572229
0.0026336	0.06202967	0.10554709	2.231776977
0.0026336	0.06202967	0.10464071	2.332060857
0.0026336	0.06202967	0.10072359	2.819924976
0.0026336	0.06214582	0.10103098	2.778201076
0.0026336	0.06214582	0.10446105	2.352467664
0.0026336	0.06214582	0.10575563	2.209320763
