PACl mL/s	Turbidity	Fluoride Voltage	Fluoride Conc
0.0039502	4.17737246	0.10576252	2.208582696
0.0039502	4.17737246	0.10610827	2.171860337
0.0039502	4.17737246	0.10409226	2.394918145
0.0039502	4.17737246	0.10461271	2.335229573
0.0039502	4.17737246	0.10641058	2.140252457
0.0039502	3.99648809	0.10506526	2.28453869
0.0039502	3.99648809	0.10455149	2.34217275
0.0039502	3.99648809	0.10576171	2.208669452
0.0039502	3.99648809	0.10537546	2.250429737
0.0039502	3.99648809	0.10398572	2.407323702
0.0039502	3.49499321	0.10645648	2.135493794
0.0039502	3.49499321	0.10575549	2.209335763
0.0039502	3.49499321	0.10392088	2.414905129
0.0039502	3.49499321	0.10664798	2.115754
0.0039502	3.49499321	0.10486051	2.30733533
0.0039502	3.60671139	0.1040103	2.404455907
0.0039502	3.60671139	0.1056071	2.22529163
0.0039502	3.60671139	0.10650584	2.130388223
0.0039502	3.60671139	0.10427614	2.373657286
0.0039502	3.60671139	0.10469891	2.325488205
0.0039502	2.87615275	0.10656485	2.124300517
0.0039502	2.87615275	0.10529234	2.259519176
0.0039502	2.87615275	0.10453479	2.344070337
0.0039502	2.87615275	0.10652497	2.128412788
0.0039502	2.87615275	0.1044632	2.352222402
0.0039502	2.33975625	0.10448277	2.349991124
0.0039502	2.33975625	0.10673891	2.106444943
0.0039502	2.33975625	0.10414711	2.388556339
0.0039502	2.33975625	0.10595375	2.188195944
0.0039502	2.33975625	0.1057091	2.214311589
0.0039502	2.96693134	0.10526568	2.262442301
0.0039502	2.96693134	0.10643779	2.137430193
0.0039502	2.96693134	0.10583661	2.200661627
0.0039502	2.96693134	0.10442279	2.356836463
0.0039502	2.96693134	0.10688459	2.091616096
0.0039502	3.22332048	0.10423455	2.378449492
0.0039502	3.22332048	0.10594052	2.189600296
0.0039502	3.22332048	0.10685846	2.094268178
0.0039502	3.22332048	0.10393265	2.413527149
0.0039502	3.22332048	0.1064685	2.134249374
0.0039502	3.57611084	0.10474912	2.319832766
0.0039502	3.57611084	0.10510477	2.280165684
0.0039502	3.57611084	0.10705226	2.074678045
0.0039502	3.57611084	0.10425729	2.375828079
0.0039502	3.57611084	0.10675667	2.104631531
0.0039502	3.65797687	0.10534665	2.253576055
0.0039502	3.65797687	0.10467479	2.328209878
0.0039502	3.65797687	0.1069537	2.084617904
0.0039502	3.65797687	0.1056161	2.224320617
0.0039502	3.65797687	0.10428654	2.372460456
0.0039502	3.79630375	0.10658841	2.121874836
0.0039502	3.79630375	0.10504137	2.287186927
0.0039502	3.79630375	0.10456949	2.340129166
0.0039502	3.79630375	0.10678561	2.101679911
0.0039502	3.79630375	0.10500481	2.291245594
0.0039502	3.01610327	0.10544623	2.242719634
0.0039502	3.01610327	0.10669354	2.111084615
0.0039502	3.01610327	0.10436683	2.363240991
0.0039502	3.01610327	0.10601574	2.181627754
0.0039502	3.01610327	0.10652679	2.128224943
0.0039502	3.12550879	0.1044763	2.350728568
0.0039502	3.12550879	0.10702734	2.077186762
0.0039502	3.12550879	0.10507265	2.28372012
0.0039502	3.12550879	0.10529308	2.259438093
0.0039502	3.12550879	0.10677982	2.102270107
0.0039502	3.21264863	0.10440713	2.358626973
0.0039502	3.21264863	0.10728286	2.051606617
0.0039502	3.21264863	0.10515799	2.27428847
0.0039502	3.21264863	0.10519626	2.270071587
0.0039502	3.21264863	0.10737231	2.042726404
0.0039502	3.62791657	0.10394938	2.411569826
0.0039502	3.62791657	0.10627763	2.154095916
0.0039502	3.62791657	0.10566578	2.218968243
0.0039502	3.62791657	0.10456045	2.341155277
0.0039502	3.62791657	0.10732223	2.047693385
0.0039502	3.84347129	0.10499113	2.292766114
0.0039502	3.84347129	0.10509504	2.281241833
0.0039502	3.84347129	0.10695581	2.084404611
0.0039502	3.84347129	0.10392473	2.414454301
0.0039502	3.84347129	0.10644598	2.136581443
0.0039502	4.05277967	0.10535011	2.253197959
0.0039502	4.05277967	0.10491753	2.300964028
0.0039502	4.05277967	0.10662609	2.11800115
