Influent Fluoride (mg/L), Effluent Fluoride (mg/L), Influent PACl (g/L), Influent Clay (mg/L), Experimental W (mg F/g PaCl), Upflow Velocity (mm/s)
4.142154872, 3.062946848, 0.015, 0, 71.9472016, 1.0
3.614396205, 2.257547708, 0.015, 6, 90.45656647, 1.0
3.241694576, 2.567431125, 0.010, 6, 67.4263451, 1.0
4.44646789, 2.259716842, .0189, 0, 115.7011137, 1.17
