Day fraction since midnight on 7/15/2019	Fluoride Probe (volts)	Fluoride Concentration (mg/L)	pH (volts)	Turbidity (1)	Time (sec)
Started experiment
0.43507466	0.12105724	0.921403735	0.07316099	0.15000001	0
0.43513251	0.12175095	0.893121231	0.07458361	0.15000001	4.99824
0.4351904	0.12194922	0.885198479	0.07170428	0.15000001	9.999936
0.43524825	0.12202371	0.882240098	0.07303418	0.14	14.998176
0.43530613	0.12259882	0.859729889	0.06941377	0.14	19.999008
0.435364	0.12247793	0.864413435	0.06839141	0.14	24.998976
0.43542185	0.12242126	0.866617731	0.06522062	0.13	29.997216
0.43547973	0.12224033	0.873693068	0.06876791	0.13	34.998048
0.43553759	0.12247781	0.864418097	0.06423454	0.13	39.997152
0.43559546	0.12275027	0.853898174	0.06190802	0.12	44.99712
0.43565332	0.12258423	0.860293788	0.06309651	0.12	49.996224
0.43571119	0.12305553	0.842263813	0.05563271	0.11	54.996192
0.43576907	0.12313405	0.839296902	0.03054936	0.11	59.997024
0.43582693	0.12249254	0.863846058	-0.06319012	0.11	64.996128
0.4358848	0.12262331	0.858784188	-0.09797931	0.11	69.996096
0.43594267	0.12312236	0.83973795	-0.10660445	0.11	74.996064
0.43600054	0.1240503	0.805438932	-0.10635173	0.11	79.996032
0.4360584	0.12390994	0.810535626	-0.10313205	0.11	84.995136
0.43611626	0.12441196	0.792453673	-0.09767604	0.11	89.99424
0.43617413	0.12467484	0.783146652	-0.09265151	0.11	94.994208
0.436232	0.12418157	0.800701317	-0.08924813	0.11	99.994176
0.43628986	0.12454452	0.787746767	-0.08475266	0.11	104.99328
0.43634774	0.1245646	0.787036214	-0.0875624	0.11	109.994112
0.43640561	0.12462825	0.784788121	-0.08810692	0.11	114.99408
0.43646347	0.12447716	0.790135064	-0.0878003	0.11	119.993184
0.43652134	0.12452429	0.788463277	-0.09127872	0.11	124.993152
0.43657921	0.12439385	0.793098898	-0.1270164	0.11	129.99312
0.43663706	0.12456695	0.786953098	-0.16251941	0.11	134.99136
0.43669494	0.12423802	0.798672579	-0.17472115	0.11	139.992192
0.4367528	0.1247874	0.779195067	-0.18772911	0.11	144.991296
0.43681068	0.12519401	0.765085802	-0.18014665	0.11	149.992128
0.43686853	0.12620488	0.731106063	-0.18234897	0.11	154.990368
0.4369264	0.12678373	0.712332275	-0.18045875	0.11	159.990336
0.43698427	0.12685965	0.709905999	-0.18333466	0.11	164.990304
0.43704214	0.12638627	0.725170432	-0.18702729	0.11	169.990272
0.43709997	0.12615874	0.732623639	-0.18787427	0.11	174.986784
0.43715788	0.12610269	0.7344714	-0.18591097	0.11	179.990208
0.43721574	0.1265121	0.721081226	-0.18841921	0.11	184.989312
0.43727361	0.12699245	0.705681787	-0.18868418	0.11	189.98928
0.43733148	0.12710524	0.702113815	-0.18646559	0.11	194.989248
0.43738935	0.12677442	0.712630378	-0.18794204	0.11	199.989216
0.4374472	0.127664	0.684702422	-0.1853729	0.11	204.987456
0.43750507	0.12819175	0.668654005	-0.1888392	0.11	209.987424
0.43756294	0.12868175	0.654090476	-0.18664351	0.11	214.987392
0.43762082	0.12898548	0.645222858	-0.18328492	0.12	219.988224
0.43767867	0.12828176	0.665954673	-0.18602107	0.12	224.986464
0.43773655	0.12837781	0.663086224	-0.18729103	0.12	229.987296
0.43779441	0.12894335	0.646445656	-0.18443918	0.13	234.9864
0.43785228	0.12834044	0.664200775	-0.18298508	0.13	239.986368
0.43791015	0.12870564	0.653388596	-0.1840378	0.13	244.986336
0.43796802	0.12898225	0.645316525	-0.18283272	0.14	249.986304
0.43802589	0.12907739	0.642563248	-0.18460327	0.14	254.986272
0.43808373	0.12846918	0.660369007	-0.18309891	0.14	259.983648
0.43814161	0.12916538	0.640027343	-0.18123171	0.14	264.98448
0.43819949	0.12913913	0.640782829	-0.18174025	0.15000001	269.985312
0.43825733	0.12904772	0.643420612	-0.18101281	0.14	274.982688
0.4383152	0.12866063	0.654711603	-0.18142037	0.17	279.982656
0.43837309	0.12903	0.643933206	-0.18308719	0.16	284.984352
0.43843096	0.12948956	0.630770411	-0.18121022	0.16	289.98432
0.4384888	0.13021034	0.610665544	-0.18226512	0.16	294.981696
0.43854669	0.12985991	0.620358831	-0.18265703	0.17	299.983392
0.43860456	0.12976703	0.622953692	-0.18337181	0.17	304.98336
0.43866242	0.12943678	0.632268363	-0.18197589	0.16	309.982464
0.43872029	0.13052019	0.602220989	-0.18386877	0.17	314.982432
0.43877814	0.13017419	0.611658447	-0.18377027	0.17	319.980672
0.43883603	0.13021167	0.610629045	-0.18287063	0.18000001	324.982368
0.43889389	0.12984928	0.620655261	-0.18297943	0.17	329.981472
0.43895174	0.13007459	0.614402438	-0.18296885	0.18000001	334.979712
0.43900963	0.13054037	0.601675077	-0.18220694	0.18000001	339.981408
0.43906747	0.1304279	0.604723947	-0.18375792	0.17	344.978784
0.43912534	0.12988697	0.61960487	-0.18151206	0.17	349.978752
0.43918321	0.13059105	0.600306258	-0.18018994	0.17	354.97872
0.4392411	0.13029176	0.608435146	-0.18054509	0.18000001	359.980416
0.43929894	0.13043875	0.60442915	-0.18155362	0.19	364.977792
0.43935681	0.13113198	0.585888825	-0.18261535	0.19	369.97776
0.43941468	0.13064662	0.598808942	-0.18310459	0.19	374.977728
0.43947254	0.13088572	0.592408961	-0.1828845	0.19	379.976832
0.43953041	0.13035162	0.606800555	-0.18343244	0.19	384.9768
0.43958829	0.13087142	0.592789798	-0.18214981	0.2	389.977632
0.43964617	0.13076322	0.595679323	-0.18151741	0.2	394.978464
0.43970402	0.13069807	0.597425969	-0.18253611	0.19	399.976704
0.43976189	0.13021763	0.610465511	-0.18061481	0.18000001	404.976672
0.43981975	0.13096966	0.590178401	-0.18239938	0.2	409.975776
0.43987759	0.13050435	0.602649841	-0.18413754	0.20999999	414.973152
0.43993549	0.13007107	0.61449964	-0.18196899	0.20999999	419.975712
0.43999336	0.13086198	0.593041338	-0.18184036	0.2	424.97568
0.44005123	0.13078198	0.595177322	-0.18393436	0.20999999	429.975648
0.44010907	0.13054535	0.601540434	-0.18269233	0.2	434.973024
0.44016696	0.13084804	0.593412981	-0.18264757	0.19	439.97472
0.44022483	0.13119617	0.584201113	-0.18259138	0.19	444.974688
0.44028269	0.13098219	0.589846159	-0.18132843	0.2	449.973792
0.44034056	0.13106821	0.587570323	-0.1835359	0.2	454.97376
0.44039842	0.1309578	0.59049305	-0.18483055	0.2	459.972864
0.44045629	0.13098583	0.589749677	-0.18263522	0.2	464.972832
0.44051415	0.13117228	0.584828671	-0.18185143	0.23	469.971936
0.44057203	0.13150246	0.5762147	-0.18611436	0.22	474.972768
0.4406299	0.13094531	0.590824594	-0.1838944	0.2	479.972736
0.44068776	0.13081716	0.594237077	-0.1856685	0.19	484.97184
0.44074562	0.130714	0.59699842	-0.18434031	0.2	489.970944
0.44080349	0.13071175	0.597058789	-0.18356188	0.20999999	494.970912
0.44086137	0.13088758	0.592359443	-0.18552482	0.2	499.971744
0.44091923	0.13118762	0.584425632	-0.18520562	0.2	504.970848
